"Summary by Level","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","15","3.917","93.3","",".","6.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","21","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","40","3.967","97.5","",".","2.5","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","13","",".","",".",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","10","",".","",".",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Professionals","","23","",".","",".",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
