"GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","","",""
"","990
139","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
140","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
143","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
144","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
145","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
147","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
148","3","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
150","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
151","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
152","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
153","2","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
154","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
155","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
156","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
157","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
158","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
159","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
160","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"Research","Course Total","71","",".",".",".",".",".",".",".","73.2","",".",".","",".","26.8",".",".",".","."
"GENETICS
412","Dept. Total","1022","3.473","55.6","13.5","10.7","4.5","4.7","2.6","0.8","5.3","",".",".","",".","2.0","0.2",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","39","3.598","64.1","15.4","10.3","5.1","2.6","2.6",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","92","3.540","59.8","18.5","10.9","4.3","3.3","2.2","1.1",".","",".",".","",".",".",".",".",".","."
"Junior","","184","3.206","47.8","14.1","14.1","6.0","8.2","8.2","1.1",".","",".",".","",".",".","0.5",".",".","."
"Senior","","464","3.473","59.7","11.9","12.9","5.8","6.3","1.9","0.9","0.2","",".",".","",".","0.2","0.2",".",".","."
"Undergraduates","","779","3.423","57.1","13.4","12.8","5.6","6.2","3.5","0.9","0.1","",".",".","",".","0.1","0.3",".",".","."
"Special","","92","3.795","83.7","9.8","3.3","1.1",".",".","1.1",".","",".",".","",".",".",".",".","1.1","."
"Graduate","","146","3.744","31.5","16.4","4.1","0.7",".",".",".","33.6","",".",".","",".","13.0",".",".","0.7","."
"Prof Yr 2","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","1022","3.473","55.6","13.5","10.7","4.5","4.7","2.6","0.8","5.3","",".",".","",".","2.0","0.2",".","0.2","."
