"Section","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"999","022","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","024","","2","4.000","50.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","50.0",".",".","."
"999","025","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","026","","3","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","029","","4","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","033","","1","3.500",".","100.0",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","035","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","040","","2","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","042","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","044","","2","4.000","50.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","50.0",".",".","."
"999","045","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","046","","2","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","047","","2","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","061","","4","3.750","75.0",".","25.0","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","063","","1","",".",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","100.0",".",".","."
"999","066","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","073","","2","4.000","50.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","50.0",".",".","."
"999","083","","2","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","084","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","089","","2","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","096","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","124","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","126","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","139","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","140","","2","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"999","162","","1","",".",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","100.0",".",".","."
"999","240","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Course Total","","47","3.964","85.1","2.1","2.1","",".","",".","",".","",".","",".","",".",".","",".","",".","10.6",".",".","."
