"BUS","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONS & TECHNOLOGY M Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","","",""
"OTM
Dept. Total
238","904","3.331","35.6","28.5","19.5","7.9","7.2","0.8","0.4","0.1","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","65","2.723",".","24.6","30.8","15.4","27.7",".","1.5",".","",".",".","",".","",".","",".",".",".","."
"Junior","242","2.988","12.4","28.5","28.9","14.5","12.0","2.5","1.2",".","",".",".","",".","",".","",".",".",".","."
"Senior","192","3.305","33.9","23.4","22.9","10.4","8.9","0.5",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","499","3.075","19.0","26.1","26.9","13.0","12.8","1.4","0.8",".","",".",".","",".","",".","",".",".",".","."
"Special","15","3.233","20.0","33.3","26.7","13.3","6.7",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","380","3.725","57.6","31.3","9.7","1.1",".",".",".","0.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","5","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","5","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","10","3.692","50.0","40.0","10.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","904","3.331","35.6","28.5","19.5","7.9","7.2","0.8","0.4","0.1","",".",".","",".","",".","",".",".",".","."
