"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Beginning Class Piano","101
001","","2","2.500","50.0",".",".",".",".","","50.0","",".","",".","",".",".","",".","",".",".",".",".","."
"","102
001","","8","3.938","87.5","12.5",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","102
002","","11","3.500","54.5","18.2","9.1","9.1","9.1","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Beginning Class Piano","Course Total","","19","3.684","68.4","15.8","5.3","5.3","5.3","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Elementary Class Piano","103
001","","1","3.500",".","100.0",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","104
001","","8","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","104
002","","6","3.667","66.7","16.7",".","16.7",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Intermediate Class Piano","Course Total","","14","3.857","85.7","7.1",".","7.1",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Intro to Performance: Voice","143
001","","11","3.955","90.9","9.1",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","144
062","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","144
101","","5","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","144
102","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","144
103","","5","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","144
104","","7","3.944","71.4","14.3",".",".",".","",".","",".","",".","",".",".","",".","",".","14.3",".",".","."
"","144
105","","3","3.667","33.3","66.7",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","24","3.953","83.3","12.5",".",".",".","",".","",".","",".","",".",".","",".","",".","4.2",".",".","."
"","146
010","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","146
011","","4","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","146
019","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","146
020","","4","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","146
032","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","146
042","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","146
059","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","146
063","","1","",".",".",".",".",".","",".","",".","",".","",".",".","",".","",".","100.0",".",".","."
"","146
066","","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","146
073","","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","146
077","","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","146
089","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Music Lessons for Non Majors","Course Total","","23","4.000","95.7",".",".",".",".","",".","",".","",".","",".",".","",".","",".","4.3",".",".","."
"First Year Composition","148
001","","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","200
101","","4","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","200
103","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","200
104","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","200
105","","4","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","12","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","201
024","","1","3.000",".",".","100.0",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","201
029","","2","3.750","50.0","50.0",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","3","3.500","33.3","33.3","33.3",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Elem/Intmed Organ","203
042","","1","3.500",".","100.0",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","205
044","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","205
045","","5","3.875","60.0","20.0",".",".",".","",".","",".","",".","",".",".","",".","",".","20.0",".",".","."
"","205
061","","2","3.500","50.0",".","50.0",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","205
062","","4","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
