"1224
TERM:","","","","Percentage Distribution of Grades","","","","","","","","","","","","Office of the Registrar"
"Spring 2021-2022","","","","","","","","","","","","","","","","Institutional Reporting"
"","","","","University of Wisconsin - Madison","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","",""
"CELL AND REGENERATIVE BIOL Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","",""
"CRB
217","275
Dept. Total","3.770","60.7","24.4","4.4","1.8","0.7",".",".","5.8",".",".",".",".","0.4",".  
1.8
."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","",".",".",".","",".  
.  
.  
."
