"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"HISTORY OF SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"Making of Modern Science","202","001","129","3.697","43.4","28.7","7.0",".","1.6","",".","",".","18.6","",".",".","",".","",".",".","0.8",".","."
"Hon Sm:Studies-Sci,Tech,Med","280","001","13","3.808","76.9","15.4",".","7.7",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Health and the Humanities","525","001","10","3.900","80.0","20.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Childbirth in the US","537","001","12","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","682","016","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Smr: Medvl Renaiss&17C Sci","903","001","8","4.000","62.5",".",".",".",".","",".","",".",".","",".",".","",".","",".","37.5",".",".","."
"History of Biology&Medicine","909","001","3","3.667","66.7",".","33.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Smr-18th Century Science","911","001","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","990","002","1","",".",".",".",".",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","004","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","013","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","016","4","",".",".",".",".",".","",".","",".","75.0","",".",".","",".","",".",".",".","25.0","."
"","990","019","2","",".",".",".",".",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","104","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Research and Thesis","","Course Total","11","",".",".",".",".",".","",".","",".","63.6","",".",".","",".","27.3","",".",".","9.1","."
"","999","016","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","999","113","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Independent Work","","Course Total","4","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
