"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","454
001","","3","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"","454
002","","10","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"Stdt Teaching-Middle School","Course Total","","13","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","","12","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"","459
001","","14","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"","459
002","","1","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","Course Total","","15","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"","463
001","","18","3.944","94.4",".","5.6",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","463
002","","18","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","463
003","","21","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","463
004","","24","4.000","95.8",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","4.2",".",".","."
"Sem. in Pre-K Through MS Teach","Course Total","","81","3.986","97.5",".","1.2",".","",".","",".","",".","",".","",".",".","",".","",".","1.2",".",".","."
"","464
001","","18","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"","464
002","","11","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"","464
003","","21","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"Stdt Tchg in Elem School","Course Total","","50","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"EC/ESL Student Teaching","468
001","","18","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","","9","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","","8","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","100.0","."
"Student Teaching in HS Math","494
001","","12","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","100.0","."
"Stdt Teach Sci-MiddleSchl","495
001","","9","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","100.0","."
"","496
001","","14","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"","496
002","","1","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"Stdt Teaching-English in HS","Course Total","","15","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","","4","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","100.0","."
"CS Education","502
001","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","506
001","","25","3.980","96.0","4.0",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","506
002","","21","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","506
003","","36","3.943","86.1","11.1",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","2.8","."
"Strategy-Inclusive Schoolng","Course Total","","82","3.969","92.7","6.1",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","1.2","."
"Adv Pract-Teach Soc Studies","559
001","","27","3.963","96.3",".","3.7",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Adv Probs-Teaching World Lang","564
001","","4","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","576
003","","10","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","576
004","","12","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Topics in Game Design","Course Total","","22","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Adv Pract-Teaching Science","590
001","","17","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","100.0","."
"Adv Prac-Tch Engl Secn Schl","596
001","","24","3.979","95.8","4.2",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Seminar on Literacy","604
001","","18","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","620
001","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","620
002","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 88 of 454"
