"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"LATIN","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","3","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","","13","3.769","61.5","30.8","7.7","",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","","17","3.567","52.9","23.5","17.6","",".","5.9",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","","22","3.595","63.6","13.6","9.1","",".","4.5","4.5","",".",".","",".",".","",".","4.5",".",".",".","."
"Undergraduates","","","55","3.634","60.0","20.0","12.7","",".","3.6","1.8","",".",".","",".",".","",".","1.8",".",".",".","."
"Special","","","3","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","","16","3.826","62.5","18.8","6.3","",".",".",".","",".","6.3","",".",".","",".",".","6.3",".",".","."
"","Dept. Total","","74","3.682","62.2","18.9","10.8","",".","2.7","1.4","",".","1.4","",".",".","",".","1.4","1.4",".",".","."
