"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"LEGAL STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131","001","164","2.863","12.8","18.9","27.4","18.3","18.3","4.3",".",".","",".",".","",".","",".",".",".",".","."
"American Legal History to Pres","262","001","41","3.122","17.1","12.2","46.3","4.9","9.8",".",".","9.8","",".",".","",".","",".",".",".",".","."
"","400","023","19","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","400","027","41","3.487","46.3","31.7","9.8","2.4",".",".","4.9",".","",".",".","",".","",".","2.4",".","2.4","."
"","400","028","15","3.600","46.7","26.7","26.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Topics: Legal Studies&Soc Sci","","Course Total","75","3.644","60.0","22.7","10.7","1.3",".",".","2.7",".","",".",".","",".","",".","1.3",".","1.3","."
"Jurisprudence","407","001","31","3.839","83.9","6.5","6.5",".","3.2",".",".",".","",".",".","",".","",".",".",".",".","."
"Crime, Gender and Justice","425","001","33","3.661","51.5","24.2","15.2","3.0",".",".",".",".","",".",".","",".","",".","6.1",".",".","."
"Civil Rights","435","001","99","3.404","23.2","41.4","30.3","3.0","2.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Immigration, Crime, Enforcemnt","443","001","38","3.434","23.7","50.0","23.7",".",".","2.6",".",".","",".",".","",".","",".",".",".",".","."
"Law in Action","444","001","67","3.724","68.7","22.4","4.5",".","3.0",".","1.5",".","",".",".","",".","",".",".",".",".","."
"Topic:Legal Studies&Humanities","450","029","70","3.681","71.4","10.0","7.1","4.3","4.3","1.4",".",".","",".",".","",".","",".","1.4",".",".","."
"Rule of Law:Philos&Hist Models","459","001","41","3.500","31.7","48.8","14.6","2.4",".","2.4",".",".","",".",".","",".","",".",".",".",".","."
"History of Forensic Science","477","001","19","3.306","31.6","31.6","21.1","5.3",".",".","5.3","5.3","",".",".","",".","",".",".",".",".","."
"Legal Pluralism","510","001","22","3.455","31.8","40.9","13.6","13.6",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sociology of Law","641","001","11","3.545","54.5","9.1","27.3","9.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","682","010","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","682","011","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","","Course Total","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior Thesis","692","011","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Crimnl Justice Fld Observtn","694","001","51","3.784","82.4","9.8","2.0","2.0","2.0",".","2.0",".","",".",".","",".","",".",".",".",".","."
"Directed Study","699","012","7","3.889","85.7",".","14.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
