"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","",""
"Careers in Finance","200
001","45","",".",".",".",".",".",".",".",".","",".","97.8","2.2","",".",".",".",".","."
"","205
001","62","",".",".",".",".",".",".",".",".","",".","95.2","4.8","",".",".",".",".","."
"","205
002","36","",".",".",".",".",".",".",".","2.8","",".","88.9","2.8","",".",".",".","5.6","."
"Financial Modeling in Excel","Course Total","98","",".",".",".",".",".",".",".","1.0","",".","92.9","4.1","",".",".",".","2.0","."
"","300
001","155","2.863","20.6","15.5","15.5","27.1","14.8","1.9","3.2","0.6","",".",".",".","",".","0.6",".",".","."
"","300
002","220","3.105","30.5","15.5","17.3","22.7","12.3","1.4","0.5",".","",".",".",".","",".",".",".",".","."
"","300
003","110","3.164","23.6","21.8","28.2","16.4","10.0",".",".",".","",".",".",".","",".",".",".",".","."
"Introduction to Finance","Course Total","485","3.041","25.8","16.9","19.2","22.7","12.6","1.2","1.2","0.2","",".",".",".","",".","0.2",".",".","."
"","305
001","53","3.179","28.3","30.2","17.0","9.4","9.4","5.7",".",".","",".",".",".","",".",".",".",".","."
"","305
002","54","3.287","27.8","29.6","25.9","9.3","5.6","1.9",".",".","",".",".",".","",".",".",".",".","."
"","305
003","56","3.304","21.4","33.9","33.9","5.4","5.4",".",".",".","",".",".",".","",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","163","3.258","25.8","31.3","25.8","8.0","6.7","2.5",".",".","",".",".",".","",".",".",".",".","."
"Data Analytics for Finance","310
001","23","3.630","56.5","13.0","30.4",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"","320
001","6","3.583","33.3","50.0","16.7",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"","320
002","24","3.396","33.3","29.2","25.0","8.3","4.2",".",".",".","",".",".",".","",".",".",".",".","."
"","320
003","14","3.038","14.3","50.0","14.3",".",".","7.1","7.1",".","",".",".",".","",".",".",".","7.1","."
"","320
004","42","3.464","35.7","28.6","31.0","2.4","2.4",".",".",".","",".",".",".","",".",".",".",".","."
"","320
005","52","3.118","9.6","30.8","40.4","11.5","3.8","1.9",".","1.9","",".",".",".","",".",".",".",".","."
"Investment Theory","Course Total","138","3.287","23.2","32.6","31.2","6.5","2.9","1.4","0.7","0.7","",".",".",".","",".",".",".","0.7","."
"","325
001","18","3.528","44.4","27.8","22.2",".","5.6",".",".",".","",".",".",".","",".",".",".",".","."
"","325
002","25","3.360","36.0","24.0","28.0",".","12.0",".",".",".","",".",".",".","",".",".",".",".","."
"","325
003","35","3.314","42.9","22.9","14.3",".","17.1","2.9",".",".","",".",".",".","",".",".",".",".","."
"","325
004","59","3.466","37.3","28.8","25.4","6.8","1.7",".",".",".","",".",".",".","",".",".",".",".","."
"Corporation Finance","Course Total","137","3.416","39.4","26.3","22.6","2.9","8.0","0.7",".",".","",".",".",".","",".",".",".",".","."
"","330
001","60","3.558","46.7","30.0","13.3","8.3","1.7",".",".",".","",".",".",".","",".",".",".",".","."
"","330
002","60","3.292","28.3","36.7","13.3","8.3","13.3",".",".",".","",".",".",".","",".",".",".",".","."
"","330
003","60","3.058","16.7","21.7","33.3","13.3","15.0",".",".",".","",".",".",".","",".",".",".",".","."
"","330
004","7","3.214","42.9","42.9",".",".",".",".","14.3",".","",".",".",".","",".",".",".",".","."
"","330
005","19","3.184","36.8","10.5","15.8","26.3","10.5",".",".",".","",".",".",".","",".",".",".",".","."
"","330
006","23","3.283","34.8","26.1","21.7","13.0",".",".","4.3",".","",".",".",".","",".",".",".",".","."
"Derivative Securities","Course Total","229","3.288","31.9","27.9","19.2","11.4","8.7",".","0.9",".","",".",".",".","",".",".",".",".","."
"Fixed Income Securities","340
001","25","3.500","56.0","4.0","32.0",".","8.0",".",".",".","",".",".",".","",".",".",".",".","."
"Contemporary Topics","365
001","14","3.750","71.4","14.3","7.1","7.1",".",".",".",".","",".",".",".","",".",".",".",".","."
"Bank Management","410
001","44","3.557","52.3","25.0","15.9",".","4.5","2.3",".",".","",".",".",".","",".",".",".",".","."
"","420
001","41","3.537","41.5","24.4","34.1",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"","420
002","42","3.476","26.2","40.5","31.0",".",".",".",".","2.4","",".",".",".","",".",".",".",".","."
"","420
003","38","3.395","21.1","39.5","36.8","2.6",".",".",".",".","",".",".",".","",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","Course Total","121","3.471","29.8","34.7","33.9","0.8",".",".",".","0.8","",".",".",".","",".",".",".",".","."
"Multinational Bus Finance","445
001","24","3.333","37.5","16.7","29.2","8.3","8.3",".",".",".","",".",".",".","",".",".",".",".","."
"Entrepreneurial Finance","457
001","45","3.578","37.8","40.0","22.2",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Markets with Frictions","503
001","6","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Applied Equity Mkts Research 2","536
001","12","3.500","58.3","16.7","16.7",".",".","8.3",".",".","",".",".",".","",".",".",".",".","."
