"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","","","","",""
"","300
001","217","3.336","30.4","36.4","17.1","9.7","4.1","0.9","1.4",".","",".",".","",".","",".","",".",".",".","."
"","002
300","213","3.155","27.7","31.0","16.4","14.1","4.7","2.3","3.8",".","",".",".","",".","",".","",".",".",".","."
"","300
003","222","2.982","16.7","29.7","23.0","15.3","7.7","3.6","3.6",".","",".",".","",".","",".","",".",".","0.5","."
"Marketing Management","Course Total","652","3.157","24.8","32.4","18.9","13.0","5.5","2.3","2.9",".","",".",".","",".","",".","",".",".","0.2","."
"","305
001","47","3.404","46.8","12.8","23.4","8.5","8.5",".",".",".","",".",".","",".","",".","",".",".",".","."
"","305
002","50","3.350","44.0","12.0","26.0","6.0","12.0",".",".",".","",".",".","",".","",".","",".",".",".","."
"","305
003","47","3.245","17.0","34.0","36.2","6.4","6.4",".",".",".","",".",".","",".","",".","",".",".",".","."
"","305
004","45","3.111","8.9","33.3","33.3","20.0","4.4",".",".",".","",".",".","",".","",".","",".",".",".","."
"Consumer Behavior","Course Total","189","3.280","29.6","22.8","29.6","10.1","7.9",".",".",".","",".",".","",".","",".","",".",".",".","."
"","310
001","29","3.500","24.1","51.7","24.1",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","310
002","29","3.517","24.1","55.2","20.7",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","310
003","31","3.484","25.8","48.4","22.6","3.2",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","310
004","11","3.318","9.1","45.5","45.5",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Marketing Research","Course Total","100","3.480","23.0","51.0","25.0","1.0",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","335
001","40","3.400","27.5","30.0","40.0",".","2.5",".",".",".","",".",".","",".","",".","",".",".",".","."
"","335
002","33","3.470","42.4","15.2","36.4","6.1",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Brand Management & Strategy","Course Total","73","3.432","34.2","23.3","38.4","2.7","1.4",".",".",".","",".",".","",".","",".","",".",".",".","."
"","355
001","30","3.867","83.3","10.0","3.3","3.3",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","355
002","27","3.852","77.8","14.8","7.4",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","355
003","50","3.930","90.0","8.0",".","2.0",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","355
004","50","3.260","30.0","18.0","32.0","18.0",".","2.0",".",".","",".",".","",".","",".","",".",".",".","."
"","355
005","13","3.731","84.6","7.7",".",".",".","7.7",".",".","",".",".","",".","",".","",".",".",".","."
"","355
006","28","3.982","96.4","3.6",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Marketing in a Digital Age","Course Total","198","3.735","72.7","11.1","9.6","5.6",".","1.0",".",".","",".",".","",".","",".","",".",".",".","."
"","365
001","16","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","365
002","45","3.844","68.9","31.1",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","365
003","19","3.684","47.4","42.1","10.5",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","80","3.813","70.0","27.5","2.5",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","399
006","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","399
138","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Reading & Rsch-Marketing","Course Total","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","001
410","46","3.315","30.4","30.4","23.9","6.5","6.5","2.2",".",".","",".",".","",".","",".","",".",".",".","."
"","410
002","48","3.287","18.8","39.6","25.0","8.3","6.3",".",".","2.1","",".",".","",".","",".","",".",".",".","."
"Sports Marketing","Course Total","94","3.301","24.5","35.1","24.5","7.4","6.4","1.1",".","1.1","",".",".","",".","",".","",".",".",".","."
"","415
001","27","3.852","70.4","29.6",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","415
002","15","3.633","40.0","46.7","13.3",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Marketing Communications","Course Total","42","3.774","59.5","35.7","4.8",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Global Marketing Strategy","420
001","16","3.656","43.8","43.8","12.5",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","421
001","27","3.556","48.1","18.5","29.6","3.7",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","421
002","36","3.667","52.8","30.6","13.9","2.8",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","63","3.619","50.8","25.4","20.6","3.2",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Procurement and Supply Mgmt","423
001","40","3.725","55.0","35.0","10.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sales Strategy and Management","424
001","28","3.125","17.9","32.1","21.4","21.4","3.6","3.6",".",".","",".",".","",".","",".","",".",".",".","."
