"COMPUTER SCIENCES","Section","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","799
170","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Master's Research","Course Total","155",".","",".","",".",".","",".","",".","",".","98.1","",".",".","",".","",".","",".",".","1.9","."
"Topics in Computing","838
001","18
4.000","94.4","",".","",".",".","",".","",".","",".","5.6","",".",".","",".","",".","",".",".",".","."
"","839
001","32
3.953","93.8","","3.1","","3.1",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","839
003","24
3.938","87.5","","12.5","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","839
004","32
3.984","96.9","","3.1","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","839
005","34
3.912","82.4","","17.6","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","839
006","13
3.962","92.3","","7.7","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","839
007","30
3.920","73.3","","6.7","","3.3",".","",".","",".","",".","13.3","",".",".","",".","",".","","3.3",".",".","."
"","839
008","8
3.938","87.5","","12.5","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Core Topics in Computing","Course Total","173
3.943","87.3","","8.7","","1.2",".","",".","",".","",".","2.3","",".",".","",".","",".","","0.6",".",".","."
"Computational Cognitive Sci","841
001","6
3.583","16.7","","83.3","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","899
002","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
003","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
004","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
005","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
006","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
007","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
010","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
012","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
019","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
020","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
021","5",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
022","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
023","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
034","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
035","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
082","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
086","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
090","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
122","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
127","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
128","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
138","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
140","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
144","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
145","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
148","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
155","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
156","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
159","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
161","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
163","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
164","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","899
165","7",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","Page 216 of 454",""
