"PATHOLOGY AND LABORATORY Section","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Course Total
Laboratory Medicine Customized","","80","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"949
004
Clinical Laboratory Genetics","","4","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"950
006","","5","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"950
010","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Course Total
Infectious Disease Detectives","","7","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"960
002","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"960
004","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"960
008","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Course Total
Pathology for Surgeons","","9","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"962
002","","4","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"962
009","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Course Total
Molec Basis of Heme Malignanc","","5","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"970
008
Omics Data Analysis","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
052","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
072","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
073","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
082","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
088","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","100.0","."
"990
095","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
099","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
106","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
107","","3","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
109","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
110","","3","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
116","","2","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
119","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
125","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
127","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
128","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
130","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
133","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
136","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
137","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
139","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
140","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
142","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
144","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
146","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
147","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
148","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
149","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
150","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
151","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
154","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
