"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"","601
001","","23","3.682","69.6","13.0",".","4.3","8.7","",".","",".","4.3",".",".","",".","",".",".",".",".","."
"","601
002","","12","3.667","41.7","50.0","8.3",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"","601
004","","6","3.500","33.3","16.7","33.3",".",".","",".","",".",".",".",".","",".","",".","16.7",".",".","."
"Prosem: Topics in Poli Sci","Course Total","","41","3.654","56.1","24.4","7.3","2.4","4.9","",".","",".","2.4",".",".","",".","",".","2.4",".",".","."
"Israeli Politics and Society","665
001","","16","3.321","18.8","25.0","37.5","6.3",".","",".","",".","6.3",".",".","",".","",".","6.3",".",".","."
"Senior Honors Thesis Smr","684
001","","9","3.938","77.8","11.1",".",".",".","",".","",".",".",".",".","",".","",".","11.1",".",".","."
"Stdy Abroad-Pol Sci:CmpartvPol","690
00A","","2","3.750","50.0","50.0",".",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"","698
001","","16","",".",".",".",".",".","",".","",".",".",".","100.0","",".","",".",".",".",".","."
"","698
002","","1","",".",".",".",".",".","",".","",".",".",".","100.0","",".","",".",".",".",".","."
"Directed Study","Course Total","","17","",".",".",".",".",".","",".","",".",".",".","100.0","",".","",".",".",".",".","."
"","699
002","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"","699
004","","1","3.000",".",".","100.0",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"","699
050","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"","699
051","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"","699
056","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"","699
075","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"Directed Study","Course Total","","8","3.882","87.5",".","12.5",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"Interdis W Europ Studies Sm","804
001","","2","3.750","50.0","50.0",".",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"Stat Inference Pol Research","813
001","","11","3.636","45.5","36.4","18.2",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"Empirical Methods Poli Inquiry","817
001","","15","3.667","46.7","13.3","20.0",".",".","",".","",".",".",".",".","",".","",".","20.0",".",".","."
"Maximum Likelihood Estimation","818
001","","7","4.000","85.7",".",".",".",".","",".","",".",".",".",".","",".","",".","14.3",".",".","."
"Contemp Presidency:Iss&Appr","828
001","","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"Nationalism & Ethnic Conflict","854
001","","13","3.667","46.2","30.8","15.4",".",".","",".","",".","7.7",".",".","",".","",".",".",".",".","."
"International Politicl Economy","864
001","","9","3.750","44.4","44.4",".",".",".","",".","",".",".",".",".","",".","",".","11.1",".",".","."
"Topics in Political Science","900
001","","1","",".",".",".",".",".","",".","",".","100.0",".",".","",".","",".",".",".",".","."
"Seminar-American Politics","904
001","","11","3.778","54.5","18.2","9.1",".",".","",".","",".","9.1",".",".","",".","",".","9.1",".",".","."
"","919
001","","9","3.750","55.6","22.2","11.1",".",".","",".","",".",".",".",".","",".","",".","11.1",".",".","."
"","919
002","","8","3.875","75.0","25.0",".",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"Sem-Adv Methodology","Course Total","","17","3.813","64.7","23.5","5.9",".",".","",".","",".",".",".",".","",".","",".","5.9",".",".","."
"","931
001","","3","3.500",".","66.7",".",".",".","",".","",".",".",".",".","",".","",".","33.3",".",".","."
"","931
002","","3","4.000","33.3",".",".",".",".","",".","",".",".",".",".","",".","",".","66.7",".",".","."
"Seminar-Political Theory","Course Total","","6","3.667","16.7","33.3",".",".",".","",".","",".",".",".",".","",".","",".","50.0",".",".","."
"Smr:Topics in Comp Politics","948
001","","6","3.917","83.3","16.7",".",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"Political Theory Workshop","986
001","","5","",".",".",".",".",".","",".","",".","100.0",".",".","",".","",".",".",".",".","."
"Comparative Politic Colloquium","987
001","","3","",".",".",".",".",".","",".","",".","66.7","33.3",".","",".","",".",".",".",".","."
"International Relations Wkshop","988
001","","5","",".",".",".",".",".","",".","",".","100.0",".",".","",".","",".",".",".",".","."
"American Politics Workshop","989
001","","9","",".",".",".",".",".","",".","",".","100.0",".",".","",".","",".",".",".",".","."
"","990
004","","1","",".",".",".",".",".","",".","",".","100.0",".",".","",".","",".",".",".",".","."
"","990
012","","3","",".",".",".",".",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"","990
018","","1","",".",".",".",".",".","",".","",".","100.0",".",".","",".","",".",".",".",".","."
"","990
019","","2","",".",".",".",".",".","",".","",".","100.0",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","Page 308 of 454",""
