"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","159","3.647","62.9","25.2","4.4","2.5","1.3","1.3","1.9","",".","",".",".","",".","",".","","0.6",".",".","."
"Fund of Theatrical Design","130
001","23","3.130","60.9","4.3","8.7","4.3","4.3","8.7","8.7","",".","",".",".","",".","",".","",".",".",".","."
"Voice1 Effective Communication","140
001","17","3.441","64.7",".","11.8","5.9","17.6",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","150
001","11","3.909","90.9",".","9.1",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","150
002","13","3.962","92.3","7.7",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","150
003","10","3.950","90.0","10.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","150
004","12","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","150
005","12","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","150
006","14","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","150
007","15","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","150
008","9","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Acting I: Intro to Acting","Course Total","96","3.979","96.9","2.1","1.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Technical Theatre Fundamentals","160
001","25","3.771","60.0","28.0","8.0",".",".",".",".","","4.0","",".",".","",".","",".","",".",".",".","."
"","162
001","5","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","162
002","11","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Backstage Experience","Course Total","16","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","200
001","30","3.717","80.0","3.3","6.7",".","10.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","200
002","29","3.862","86.2","6.9","3.4",".","3.4",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","200
003","29","3.552","72.4","6.9","10.3",".","3.4","3.4","3.4","",".","",".",".","",".","",".","",".",".",".","."
"","200
004","30","3.879","90.0",".",".","3.3","3.3",".",".","",".","",".",".","",".","",".","",".",".","3.3","."
"Acting Skills for Life","Course Total","118","3.752","82.2","4.2","5.1","0.8","5.1","0.8","0.8","",".","",".",".","",".","",".","",".",".","0.8","."
"Scenic Studio Practicum","220
001","13","3.462","69.2",".","23.1",".",".",".","7.7","",".","",".",".","",".","",".","",".",".",".","."
"Costume Studio Practicum","221
001","8","3.500","87.5",".",".",".",".",".","12.5","",".","",".",".","",".","",".","",".",".",".","."
"Light & Sound Studio Practicum","222
001","7","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Environment Design for Games","230
001","4","3.500","50.0","25.0",".","25.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Collaborative Problem Solving","234
001","22","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Intermediate Voice Training","240
001","17","3.912","88.2","5.9","5.9",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","250
001","13","3.962","92.3","7.7",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","002
250","12","3.250","58.3",".","16.7",".","16.7","8.3",".","",".","",".",".","",".","",".","",".",".",".","."
"Fundamentals of Acting","Course Total","25","3.620","76.0","4.0","8.0",".","8.0","4.0",".","",".","",".",".","",".","",".","",".",".",".","."
"Producing Theatre","260
001","17","3.667","35.3","47.1","5.9",".",".",".",".","",".","",".",".","",".","",".","","11.8",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Acting Realism","350
001","9","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","360
101","9","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","360
102","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","360
201","20","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","360
202","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Performance in Practice","Course Total","34","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","361
002","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","361
003","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Backstage Laboratory II","Course Total","4","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
