"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","","","","","","",""
"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Textile Design","101","001","","14","3.679","50.0","35.7","14.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","140","001","","13","3.462","46.2","38.5",".","7.7",".","7.7",".",".","",".",".","",".","",".",".",".",".","."
"","140","002","","13","3.115","30.8","30.8","15.4","7.7","7.7",".","7.7",".","",".",".","",".","",".",".",".",".","."
"","140","003","","15","3.567","40.0","40.0","13.3","6.7",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","140","004","","15","3.233","26.7","46.7","13.3",".","6.7",".","6.7",".","",".",".","",".","",".",".",".",".","."
"Vis Thinking - Form and Space","","Course Total","","56","3.348","35.7","39.3","10.7","5.4","3.6","1.8","3.6",".","",".",".","",".","",".",".",".",".","."
"Vis Thinking- Pixels & Pencils","150","001","","28","3.143","32.1","28.6","17.9","7.1","3.6","7.1","3.6",".","",".",".","",".","",".",".",".",".","."
"Sewn Construction II","154","001","","29","3.241","34.5","24.1","20.7","10.3","3.4","6.9",".",".","",".",".","",".","",".",".",".",".","."
"Design: Fundamentals II","220","001","","45","3.761","75.6","15.6","2.2",".","2.2",".","2.2",".","",".",".","",".","",".","2.2",".",".","."
"Apparel Design I","225","002","","17","3.938","82.4","11.8",".",".",".",".",".",".","",".",".","",".","",".","5.9",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","9","3.056","33.3","33.3","11.1",".","11.1",".","11.1",".","",".",".","",".","",".",".",".",".","."
"Textile Embellishment I","228","001","","11","3.909","90.9",".","9.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Textile Design: Weaving I","229","001","","8","3.563","75.0","12.5",".",".",".","12.5",".",".","",".",".","",".","",".",".",".",".","."
"","242","001","","15","3.900","80.0","20.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","242","002","","15","3.433","66.7",".","20.0","6.7",".",".","6.7",".","",".",".","",".","",".",".",".",".","."
"Visual Communication II","","Course Total","","30","3.667","73.3","10.0","10.0","3.3",".",".","3.3",".","",".",".","",".","",".",".",".",".","."
"Textile Science","251","001","","38","2.539",".","10.5","26.3","34.2","23.7","5.3",".",".","",".",".","",".","",".",".",".",".","."
"Interior Design II","322","001","","29","3.586","48.3","41.4","3.4",".","3.4","3.4",".",".","",".",".","",".","",".",".",".",".","."
"Design Thinking","341","001","","30","3.900","93.3",".","3.3",".","3.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","","71","3.704","59.2","35.2","1.4","1.4","1.4",".","1.4",".","",".",".","",".","",".",".",".",".","."
"Design-Related Intl Experience","361","00A","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Hist of Arch. & Interiors I","421","001","","25","3.840","96.0",".",".",".",".",".","4.0",".","",".",".","",".","",".",".",".",".","."
"Textile Dsgn: Print&Dye II","427","001","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Textile Embellishment II","428","001","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Textile Design: Weaving II","429","001","","7","3.929","85.7","14.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Color Theory and Technology","451","001","","28","3.250","21.4","28.6","32.1","14.3","3.6",".",".",".","",".",".","",".","",".",".",".",".","."
"","501","001","","6","4.000","66.7",".",".",".",".",".",".",".","",".",".","",".","",".","33.3",".",".","."
"","501","003","","13","3.846","92.3",".",".",".","7.7",".",".",".","",".",".","",".","",".",".",".",".","."
"Special Topics","","Course Total","","19","3.882","84.2",".",".",".","5.3",".",".",".","",".",".","",".","",".","10.5",".",".","."
"Collection Development","519","001","","7","3.750","57.1","14.3","14.3",".",".",".",".",".","",".",".","",".","",".","14.3",".",".","."
"Global Artisans","527","001","","15","3.933","86.7","13.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sustainable Creative Practice","529","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Environmental Control Systems","549","001","","36","3.222","33.3","11.1","36.1","5.6","13.9",".",".",".","",".",".","",".","",".",".",".",".","."
"Virtual Reality","579","001","","9","3.625","55.6","22.2",".",".","11.1",".",".","11.1","",".",".","",".","",".",".",".",".","."
"Internship","601","001","","15","3.933","93.3",".","6.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Interior Design IV","623","001","","30","3.817","70.0","23.3","6.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"IA Professional Practice","624","001","","28","3.875","85.7","3.6","10.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","690","008","","4","3.769","75.0",".","25.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","690","032","","8","3.231","62.5",".","12.5",".","12.5",".","12.5",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","Page 161 of 454",""
