"SPANISH (SPANISH AND PORTU Section","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"479
001
Human Rights in Literature","","17","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"630
001
Topics-Hispanic Linguistics","","14","4.000","","78.6","",".","",".",".","",".","",".","",".",".",".",".","",".",".","","14.3",".","7.1","."
"681
001
Senior Honors Thesis","","1","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"699
001","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"699
002","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Course Total
Directed Study","","2","4.000","100.0","","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"771
001
Writing for the Profession","","9","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"802
001
Smr-Spanish American Lit","","7","2.857","","42.9","","14.3","",".","14.3","","14.3","",".","","14.3",".",".",".","",".",".","",".",".",".","."
"852
001
Seminar in Golden Age Prose","","7","3.786","","71.4","","14.3","","14.3",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"899
001
Independent Reading","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"990
001","","4","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
002","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
003","","1","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
004","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
005","","3","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
006","","3","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
008","","3","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
009","","4","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
010","","3","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
011","","3","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
014","","1","","",".","",".","",".",".","",".","",".","",".",".","100.0",".","",".",".","",".",".",".","."
"990
015","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
016","","1","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"Course Total
Thesis","","32","","",".","",".","",".",".","",".","",".","",".","78.1","3.1",".","",".","18.8","",".",".",".","."
