"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MED SC-V","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Special","18","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","319","3.737","19.4","7.8","3.1","0.3","0.3","",".","",".","64.6","",".",".","",".","",".","4.4",".",".","."
"Prof Yr 2","122","4.000","3.3",".",".",".",".","",".","",".","96.7","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","491","3.423","38.3","6.1","11.0","1.6","0.8","",".","",".","42.2","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","468","4.000","44.4",".",".",".",".","",".","",".","55.6","",".",".","",".","",".",".",".",".","."
"Professionals","1400","3.624","33.0","3.9","4.6","0.6","0.4","",".","",".","56.5","",".",".","",".","",".","1.0",".",".","."
