"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"DY SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","***","","","","","","","","","","",".","",".",".","20.0",".",".","."
"Sophomore","","16","3.969","93.8","6.3",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Junior","","49","3.362","69.4","4.1","8.2",".","10.2","8.2","",".",".",".",".","",".",".",".",".",".","."
"Senior","","97","3.800","84.5","5.2","5.2","2.1","2.1","1.0","",".",".",".",".","",".",".",".",".",".","."
"Undergraduates","","167","3.686","80.2","5.4","5.4","1.2","4.2","3.0","",".",".",".",".","",".",".","0.6",".",".","."
"Special","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","91","4.000","60.4",".",".",".",".",".","",".","31.9","1.1",".","",".","6.6",".",".",".","."
"","Dept. Total","259","3.734","73.4","3.5","3.5","0.8","2.7","1.9","",".","11.2","0.4",".","",".","2.3","0.4",".",".","."
