"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"M M & I","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","28","3.660","67.9","7.1","10.7","10.7",".",".",".",".","",".",".","",".",".","3.6",".",".","."
"Senior","198","3.544","66.2","8.6","10.6","4.5","5.6","3.5","0.5",".","",".",".","",".",".","0.5",".",".","."
"Undergraduates","229","3.559","65.9","9.2","10.5","5.2","4.8","3.1","0.4",".","",".",".","",".",".","0.9",".",".","."
"Special","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","55","4.000","30.9",".",".",".",".",".",".","7.3","",".",".","",".","58.2",".",".","3.6","."
"Prof Yr 3","9","4.000","22.2",".",".",".",".",".",".","44.4","",".",".","",".","33.3",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","10","4.000","20.0",".",".",".",".",".",".","50.0","",".",".","",".","30.0",".",".",".","."
