"","MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","3","3.750","33.3","33.3",".",".",".",".",".",".","",".",".","",".","",".","33.3",".",".","."
"","299","008","","42","3.994","95.2","2.4",".",".",".",".",".",".","",".",".","",".","",".","2.4",".",".","."
"","299","010","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Independent Study","","Course Total","","43","3.995","95.3","2.3",".",".",".",".",".",".","",".",".","",".","",".","2.3",".",".","."
"Thermodynamics of Materials","330","001","","7","3.429","42.9",".","57.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Transport Phenom-Materials","331","001","","35","3.106","17.1","31.4","14.3","17.1","14.3",".",".",".","",".",".","",".","",".","5.7",".",".","."
"Microprocessing-Materials","333","001","","27","3.185","14.8","33.3","40.7","3.7","3.7","3.7",".",".","",".",".","",".","",".",".",".",".","."
"","350","001","","91","3.374","18.7","45.1","29.7","5.5","1.1",".",".",".","",".",".","",".","",".",".",".",".","."
"","350","002","","94","3.245","14.9","34.0","42.6","6.4","1.1",".","1.1",".","",".",".","",".","",".",".",".",".","."
"Intro to Materials Science","","Course Total","","185","3.308","16.8","39.5","36.2","5.9","1.1",".","0.5",".","",".",".","",".","",".",".",".",".","."
"Transformation of Solids","352","001","","39","3.179","17.9","33.3","30.8","12.8","2.6",".","2.6",".","",".",".","",".","",".",".",".",".","."
"Materials Laboratory II","361","001","","43","3.523","46.5","32.6","14.0","2.3","2.3",".","2.3",".","",".",".","",".","",".",".",".",".","."
"Polymeric Materials","421","001","","42","3.338","23.8","31.0","28.6","9.5","2.4",".",".",".","",".",".","",".","",".",".","4.8",".","."
"Intro Thin-Film Deposition","434","001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Deformation of Solids","441","001","","32","3.900","81.3","6.3","6.3",".",".",".",".",".","",".",".","",".","",".",".",".","3.1","3.1"
"Intro Comp Mat Sci and Eng","460","001","","38","3.857","71.1","15.8","5.3",".",".",".",".",".","",".",".","",".","",".","5.3",".",".","2.6"
"Welding Metallurgy","462","001","","12","3.625","58.3","16.7","16.7","8.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Capstone Project II","471","001","","37","3.878","94.6","2.7",".",".",".",".","2.7",".","",".",".","",".","",".",".",".",".","."
"Structure of Materials","551","001","","27","3.426","18.5","48.1","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Nanomaterials & Nanotechnology","553","001","","21","3.286","28.6","23.8","38.1","4.8",".","4.8",".",".","",".",".","",".","",".",".",".",".","."
"Properties-Solid Surfaces","570","001","","33","3.719","57.6","24.2","15.2",".",".",".",".","3.0","",".",".","",".","",".",".",".",".","."
"Mesoscale Modeling of Material","660","001","","8","3.875","75.0","25.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","004","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","005","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","008","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","013","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","014","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","015","","3","4.000","66.7",".",".",".",".",".",".",".","",".",".","",".","",".","33.3",".",".","."
"","699","016","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","024","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Independent Study","","Course Total","","13","4.000","92.3",".",".",".",".",".",".",".","",".",".","",".","",".","7.7",".",".","."
"Adv Matls Sci-Phase Transfm","752","001","","13","3.692","69.2","15.4","7.7",".","7.7",".",".",".","",".",".","",".","",".",".",".",".","."
"","790","001","","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","790","003","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","790","006","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","790","008","","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","790","009","","2","",".",".",".",".",".",".",".","50.0","",".",".","",".","50.0","",".",".",".","."
"","790","011","","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","790","012","","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","790","013","","3","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","790","014","","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","Page 149 of 454",""
