"INTEGRATED LIBERAL STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","","","","",""
"Principles-Envrnmtl Science","126
001","","12","3.455","41.7",".","50.0",".",".",".",".","",".","",".",".","",".","",".","8.3",".",".","."
"","139
004","","13","3.962","92.3","7.7",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","139
005","","16","3.875","93.8",".",".",".","6.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","139
006","","17","3.941","88.2","11.8",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"CRC Special Seminar","Course Total","","46","3.924","91.3","6.5",".",".","2.2",".",".","",".","",".",".","",".","",".",".",".",".","."
"Ways of Knowing in Sciences","153
001","","7","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","157
001","","15","",".",".",".",".",".",".",".","",".","",".","93.3","",".","",".",".",".",".","."
"","157
002","","14","",".",".",".",".",".",".",".","",".","",".","100.0","",".","",".",".",".",".","."
"","157
004","","14","",".",".",".",".",".",".",".","",".","",".","92.9","","7.1","",".",".",".",".","."
"Bradley Roundtable Seminar","Course Total","","43","",".",".",".",".",".",".",".","",".","",".","95.3","","2.3","",".",".",".",".","."
"Critical Thinkng & Expressn","200
001","","115","3.513","57.4","20.9","14.8",".","1.7","0.9","4.3","",".","",".",".","",".","",".",".",".",".","."
"W Culture:Sci,Tech,Phil II","202
001","","99","3.505","40.4","37.4","13.1","5.1","3.0",".","1.0","",".","",".",".","",".","",".",".",".",".","."
"West Cult: Lit&The Arts II","204
001","","125","3.829","88.0","8.8",".",".","0.8","0.8","1.6","",".","",".",".","",".","",".",".",".",".","."
"W Cul:Pol,Econ&Soc Thght II","206
001","","30","3.250","33.3","26.7","23.3","3.3","10.0",".","3.3","",".","",".",".","",".","",".",".",".",".","."
"Literature and Science","254
001","","20","3.737","60.0","20.0","15.0",".",".",".",".","",".","",".",".","",".","",".","5.0",".",".","."
"","350
002","","6","3.500","33.3","33.3","33.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","350
012","","16","2.438","25.0","12.5","6.3","12.5","18.8","12.5","12.5","",".","",".",".","",".","",".",".",".",".","."
"Rome: Lust for Glory","Course Total","","22","2.792","27.3","18.2","13.6","9.1","13.6","9.1","9.1","",".","",".",".","",".","",".",".",".",".","."
"Peer Mentor Seminar","357
001","","8","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Magic Realism Postmodernity","369
001","","12","3.833","75.0","16.7","8.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","371
001","","23","3.659","73.9","13.0",".",".","4.3",".","4.3","",".","",".",".","",".","",".","4.3",".",".","."
"","371
002","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Interdis in Arts & Humanities","Course Total","","24","3.674","75.0","12.5",".",".","4.2",".","4.2","",".","",".",".","",".","",".","4.2",".",".","."
"Capstone Integration Seminar","400
001","","9","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
