"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Dev School & Community","630
002","","14","3.964","92.9","7.1",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","674
001","","22","3.905","77.3","18.2",".",".","",".","",".","",".","",".","",".",".","",".",".","4.5",".",".","."
"","674
002","","25","3.920","88.0","8.0","4.0",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","674
003","","18","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","674
004","","16","3.967","87.5","6.3",".",".","",".","",".","",".","",".","",".",".","",".",".","6.3",".",".","."
"Adv Methods in Teaching ESL","Course Total","","81","3.943","87.7","8.6","1.2",".","",".","",".","",".","",".","",".",".","",".",".","2.5",".",".","."
"","675
001","","8","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","675
002","","24","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","675
003","","16","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","675
004","","17","",".",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".","100.0","."
"","675
005","","26","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"General Seminar","Course Total","","91","4.000","81.3",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".","18.7","."
"Bilingualism&Biliteracy-Schls","676
001","","12","3.842","75.0","16.7","8.3",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","699
005","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","699
075","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","699
095","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Independent Reading","Course Total","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Sociocultural Theory","702
001","","9","3.786","44.4","33.3",".",".","",".","",".","",".","",".","",".",".","",".",".","22.2",".",".","."
"Introd to Narrative Inquiry","718
001","","13","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","","15","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"School Practicum in CS&D","720
001","","16","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Qual Mth-Stdy Chldrn&Contxt","726
001","","10","4.000","90.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".","10.0",".",".","."
"Internationalizing Ed Knowldg","727
002","","3","3.750","33.3","33.3",".",".","",".","",".","",".","","33.3","",".",".","",".",".",".",".",".","."
"Perspectvs-Multicultrl Educ","744
001","","12","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Sex/Gender-Related Iss in C&I","760
001","","5","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","788
001","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","788
002","","7","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","Course Total","","9","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","790
001","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","790
005","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","790
013","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","790
052","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","790
056","","1","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","100.0",".",".",".","."
"","790
091","","1","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","100.0",".",".",".","."
"Master's Project or Thesis","Course Total","","8","4.000","75.0",".",".",".","",".","",".","",".","",".","",".",".","",".","25.0",".",".",".","."
"","799
005","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","799
053","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","799
070","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","799
072","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","799
080","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","799
088","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","799
095","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
