"MATERIALS SCI AND ENGINEERI Section","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"790
015","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"790
020","","3","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"790
021","","3","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"790
026","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"790
032","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"790
037","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"790
041","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"Course Total
Master's Research or Thesis","","28","","",".","",".","",".",".","",".","",".","",".","71.4",".",".","",".","28.6","",".",".",".","."
"803
005","","3","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"803
007","","2","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"803
008","","5","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"803
011","","5","","",".","",".","",".",".","",".","",".","",".","20.0",".",".","",".","80.0","",".",".",".","."
"803
027","","5","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Course Total
Spec Topics-Materials Sci","","20","4.000","","75.0","",".","",".",".","",".","",".","",".","5.0",".",".","",".","20.0","",".",".",".","."
"890
003","","3","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
011","","2","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"890
024","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
028","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
040","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"Course Total
Pre-Dissertator's Research","","8","","",".","",".","",".",".","",".","",".","",".","75.0",".",".","",".","25.0","",".",".",".","."
"900
001
Materials Research Seminar","","22","","",".","",".","",".",".","",".","",".","",".",".",".","100.0","",".",".","",".",".",".","."
"990
001","","4","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
003","","3","","",".","",".","",".",".","",".","",".","",".","66.7",".",".","",".","33.3","",".",".",".","."
"990
004","","3","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
005","","3","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
008","","4","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
009","","2","","",".","",".","",".",".","",".","",".","",".","50.0","50.0",".","",".",".","",".",".",".","."
"990
011","","2","","",".","",".","",".",".","",".","",".","",".","50.0",".",".","",".","50.0","",".",".",".","."
"990
012","","3","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
013","","4","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
020","","3","","",".","",".","",".",".","",".","",".","",".","33.3",".",".","",".","66.7","",".",".",".","."
"990
021","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
022","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
024","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
026","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
032","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
034","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
037","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
039","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"Course Total
Research and Thesis","","40","","",".","",".","",".",".","",".","",".","",".","77.5","2.5",".","",".","20.0","",".",".",".","."
