"BIOLOGICAL SYSTEMS ENGINE","Section","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1","010","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","1","014","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Cooperative Educ Program","","Course Total","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Product Design Practicum","170","001","","15","3.833","73.3","20.0","6.7",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","299","010","","1","3.500",".","100.0",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","299","035","","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Independent Study","","Course Total","","2","3.250",".","50.0","50.0",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Career Management-Engineers","308","001","","45","",".",".",".",".",".",".","",".",".","",".","97.8","","2.2","",".",".",".",".","."
"Proj Econ & Decsn Analysis","310","001","","48","3.021","16.7","25.0","29.2","12.5","12.5","4.2","",".",".","",".",".","",".","",".",".",".",".","."
"Quant Technqs-Biological Systm","349","001","","37","3.486","40.5","35.1","8.1","13.5","2.7",".","",".",".","",".",".","",".","",".",".",".",".","."
"Engr Prop-Food & Biol Matls","364","001","","10","3.000","30.0","20.0","30.0",".",".","20.0","",".",".","",".",".","",".","",".",".",".",".","."
"Measrmt&Instrumntn-Biol Sys","365","001","","67","3.403","32.8","34.3","20.9","7.5","3.0","1.5","",".",".","",".",".","",".","",".",".",".",".","."
"","367","001","","97","3.538","43.3","24.7","23.7","2.1","1.0","1.0","",".","4.1","",".",".","",".","",".",".",".",".","."
"","367","003","","2","3.250",".","50.0","50.0",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Renewable Energy Systems","","Course Total","","99","3.532","42.4","25.3","24.2","2.0","1.0","1.0","",".","4.0","",".",".","",".","",".",".",".",".","."
"Special Topics","375","001","","11","3.750","45.5","45.5",".",".",".",".","",".","9.1","",".",".","",".","",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","009","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Biorefining: Energy & Products","460","001","","10","3.300","10.0","40.0","50.0",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Heat and Mass Transfer","464","001","","15","2.933","20.0","20.0","33.3","6.7","6.7","13.3","",".",".","",".",".","",".","",".",".",".",".","."
"Sedmnt & Bio-Nutr Engr&Mgmt","472","001","","22","3.136","18.2","22.7","36.4","13.6","9.1",".","",".",".","",".",".","",".","",".",".",".",".","."
"Engr Princpl Off-Road Vehicles","476","001","","26","3.615","53.8","30.8","3.8","7.7","3.8",".","",".",".","",".",".","",".","",".",".",".",".","."
"Biol Sys Engr Dsgn Practicum I","508","002","","44","3.523","34.1","45.5","13.6","4.5","2.3",".","",".",".","",".",".","",".","",".",".",".",".","."
"Small Watershed Engineering","571","001","","29","3.286","20.7","37.9","20.7","10.3","6.9",".","",".",".","",".",".","",".","",".","3.4",".",".","."
"Practicum-Ag Engr Teaching","799","018","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate Research Seminar","901","001","","24","4.000","25.0",".",".",".",".",".","",".","75.0","",".",".","",".","",".",".",".",".","."
"","990","003","","1","",".",".",".",".",".",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","009","","1","",".",".",".",".",".",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","010","","6","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","018","","4","",".",".",".",".",".",".","",".","25.0","",".",".","",".","75.0","",".",".",".","."
"","990","030","","3","",".",".",".",".",".",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","031","","2","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","033","","2","",".",".",".",".",".",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","038","","3","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","039","","1","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","040","","6","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","042","","1","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Research","","Course Total","","30","",".",".",".",".",".",".","",".","66.7","",".",".","",".","33.3","",".",".",".","."
