"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","","","",""
"","100
053","19","3.974","94.7","5.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
054","19","3.895","84.2","10.5","5.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
055","18","3.917","94.4",".",".","5.6",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
056","19","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
057","19","3.941","84.2",".","5.3",".",".",".",".",".","",".",".","",".","",".","10.5",".",".","."
"","100
059","19","3.579","84.2",".",".",".","10.5",".","5.3",".","",".",".","",".","",".",".",".",".","."
"","100
060","19","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
061","18","3.778","94.4",".",".",".",".",".","5.6",".","",".",".","",".","",".",".",".",".","."
"","100
062","17","3.618","82.4","5.9",".",".","5.9",".","5.9",".","",".",".","",".","",".",".",".",".","."
"","100
063","19","3.605","63.2","21.1",".","5.3","10.5",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
064","18","3.500","50.0","5.6","38.9","5.6",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
065","18","3.972","94.4","5.6",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
066","19","3.789","68.4","26.3",".","5.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
067","17","3.912","88.2","5.9","5.9",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
068","18","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
069","18","3.833","66.7","33.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
070","16","3.938","93.8",".","6.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
072","19","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
073","19","3.711","84.2",".",".","5.3","10.5",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
076","18","3.972","94.4","5.6",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
077","18","3.639","72.2","11.1","5.6","5.6",".","5.6",".",".","",".",".","",".","",".",".",".",".","."
"","100
078","19","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
079","19","3.474","84.2",".",".",".","5.3",".","10.5",".","",".",".","",".","",".",".",".",".","."
"","100
080","19","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
082","19","3.947","94.7",".","5.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
084","19","3.947","89.5","10.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
086","19","3.526","84.2",".","5.3",".",".",".","10.5",".","",".",".","",".","",".",".",".",".","."
"","100
091","9","4.000","77.8",".",".",".",".",".",".","11.1","",".",".","",".","",".","11.1",".",".","."
"","100
092","8","3.750","62.5","25.0","12.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
093","10","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
094","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to College Composition","Course Total","1384","3.847","86.2","7.0","3.0","0.7","0.9","0.7","0.9","0.1","",".",".","",".","",".","0.4","0.1",".","."
"Intro-Theatre & Dramatic Lit","120
001","204","3.813","74.0","19.6","2.0","1.0",".","1.0","0.5",".","",".",".","",".","",".",".",".","2.0","."
"Comm B Topics in English Lit","140
001","130","3.852","78.5","13.1","4.6","2.3",".",".",".",".","",".",".","",".","",".","0.8","0.8",".","."
"","153
001","139","3.709","74.1","13.7","5.8","1.4","2.2","1.4","1.4",".","",".",".","",".","",".",".",".",".","."
"","153
002","21","3.825","66.7","23.8","4.8",".",".",".",".",".","",".",".","",".","",".","4.8",".",".","."
"Literature and the Environment","Course Total","160","3.723","73.1","15.0","5.6","1.3","1.9","1.3","1.3",".","",".",".","",".","",".","0.6",".",".","."
"Literature and Medicine","156
001","20","3.800","95.0",".",".",".",".",".","5.0",".","",".",".","",".","",".",".",".",".","."
"","162
001","30","3.750","60.0","30.0","10.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","162
002","111","3.748","74.8","16.2","6.3",".",".",".","2.7",".","",".",".","",".","",".",".",".",".","."
"Shakespeare","Course Total","141","3.748","71.6","19.1","7.1",".",".",".","2.1",".","",".",".","",".","",".",".",".",".","."
"British and American Writers","167
001","14","3.393","42.9","35.7","7.1",".","7.1","7.1",".",".","",".",".","",".","",".",".",".",".","."
"Modern Literature","168
001","29","3.483","41.4","17.2","37.9","3.4",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Literatures of Native America","172
001","16","3.344","56.3","18.8","6.3",".","6.3","12.5",".",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","Page 226 of 454",""
