"MEDICAL PHYSICS","Section","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Medical Physics","265
001","9
3.250","22.2","","11.1","","44.4","11.1","",".","",".","",".",".","",".",".","",".",".","11.1","",".",".","."
"Radiobiology","410
001","3
4.000","66.7","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","33.3","",".",".","."
"Monte Carlo Radiatn Transport","506
001","1
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Medical Imaging Systems","530
001","1
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Physics of Radiotherapy","566
001","18
3.333","38.9","",".","","55.6",".","","5.6","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Imaging in Medicine: Apps","574
001","8
3.250","12.5","","37.5","","37.5","12.5","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"NonIonizing Diagnostic Imaging","578
001","16
3.500","31.3","","31.3","","31.3",".","",".","",".","",".",".","",".",".","",".",".","",".",".","6.3","."
"Med Imaging with Ionizing Rad","580
001","20
3.750","55.0","","40.0","","5.0",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Radiation Production Detection","588
001","18
3.306","27.8","","22.2","","33.3","16.7","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Topics-Medical Physics","671
042","32
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699
018","2
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699
046","1
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699
074","6
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699
077","2
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Ind Reading or Research","Course Total","11
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Adv Brachytherapy Physics","770
001","8
3.857","62.5","","25.0","",".",".","",".","",".","",".","12.5","",".",".","",".",".","",".",".",".","."
"","900
001","17
3.824","64.7","","35.3","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","900
002","17
3.676","41.2","","52.9","","5.9",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Journal Club and Seminar","Course Total","34
3.750","52.9","","44.1","","2.9",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","990
019","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
020","5",".","",".","",".",".","",".","",".","",".","20.0","",".",".","",".","80.0","",".",".",".","."
"","990
021","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
044","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
051","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
060","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
061","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
062","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
065","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
066","5",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
068","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
071","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
075","5",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
080","4",".","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","100.0","."
"","990
081","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
083","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
087","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
092","7",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
093","3",".","",".","",".",".","",".","",".","",".","33.3","",".",".","",".","66.7","",".",".",".","."
"","990
094","4",".","",".","",".",".","",".","",".","",".","25.0","",".",".","",".","75.0","",".",".",".","."
"","990
095","4",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
098","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Research","Course Total","59",".","",".","",".",".","",".","",".","",".","50.8","",".",".","",".","42.4","",".",".","6.8","."
