"L&S","","","","","","","","","","","","","","","","","",""
"JOURN AND MASS COMMUNICA Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","",""
"JOURN
Dept. Total
512","1246","3.664","52.5","22.9","8.7","2.8","0.8","0.2","0.6","2.8","0.1","7.2","0.2","0.6","0.6",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","",""
"Freshmen","85","3.346","40.0","27.1","16.5","9.4","3.5",".","3.5",".",".",".",".",".",".",".",".","."
"Sophomore","226","3.510","44.7","28.3","12.8","6.2","2.2","0.9","0.9",".",".","3.1",".",".","0.9",".",".","."
"Junior","318","3.678","53.5","27.0","10.7","2.2","0.6",".","0.3",".",".","5.0","0.3",".","0.3",".",".","."
"Senior","498","3.767","59.2","21.7","6.0","1.2",".",".","0.4","0.2",".","10.2","0.4",".","0.6",".",".","."
"Undergraduates","1127","3.652","53.2","24.9","9.5","3.1","0.9","0.2","0.7","0.1",".","6.6","0.3",".","0.5",".",".","."
"Special","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","117","3.920","45.3","3.4","1.7",".",".",".",".","28.2","0.9","13.7",".","6.0","0.9",".",".","."
"Dept. Total","1246","3.664","52.5","22.9","8.7","2.8","0.8","0.2","0.6","2.8","0.1","7.2","0.2","0.6","0.6",".",".","."
