"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"100","001","","17","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","002","","17","3.088","47.1","29.4",".",".",".","17.6","5.9","",".","",".",".","",".","",".",".",".",".","."
"100","005","","17","4.000","94.1",".",".",".",".",".",".","",".","",".",".","",".","",".",".","5.9",".","."
"100","006","","17","3.941","88.2","11.8",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","007","","15","3.700","53.3","33.3","13.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","008","","17","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","009","","19","3.816","73.7","21.1",".","5.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","010","","20","3.950","95.0",".","5.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","011","","19","3.921","89.5","5.3","5.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","012","","19","3.895","84.2","10.5","5.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","013","","19","3.895","84.2","10.5","5.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","014","","19","3.974","94.7","5.3",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","015","","18","3.917","83.3","16.7",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","016","","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","017","","19","3.632","73.7","10.5",".","10.5",".","5.3",".","",".","",".",".","",".","",".",".",".",".","."
"100","018","","19","3.895","84.2","10.5","5.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","019","","18","3.750","88.9","5.6",".",".",".",".","5.6","",".","",".",".","",".","",".",".",".",".","."
"100","020","","19","3.658","63.2","26.3","5.3",".",".","5.3",".","",".","",".",".","",".","",".",".",".",".","."
"100","021","","19","3.974","94.7","5.3",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","022","","19","3.921","84.2","15.8",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","023","","19","3.737","89.5",".","5.3",".",".",".","5.3","",".","",".",".","",".","",".",".",".",".","."
"100","025","","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","026","","19","3.974","94.7","5.3",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","027","","19","3.947","94.7",".","5.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","028","","18","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","029","","19","3.579","47.4","31.6","15.8",".","5.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","030","","19","3.500","78.9","5.3",".",".","5.3","5.3","5.3","",".","",".",".","",".","",".",".",".",".","."
"100","031","","19","3.947","89.5","10.5",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","032","","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","033","","18","3.722","61.1","22.2","16.7",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","034","","19","3.921","89.5","5.3","5.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","036","","19","3.632","68.4","21.1",".",".","5.3","5.3",".","",".","",".",".","",".","",".",".",".",".","."
"100","037","","19","3.921","84.2","15.8",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","038","","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","039","","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","040","","19","3.474","73.7",".","15.8",".",".","5.3","5.3","",".","",".",".","",".","",".",".",".",".","."
"100","041","","18","3.944","94.4",".","5.6",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","043","","18","3.833","94.4",".",".",".",".","5.6",".","",".","",".",".","",".","",".",".",".",".","."
"100","044","","18","3.647","77.8",".","11.1",".",".",".","5.6","",".","",".",".","",".","",".",".","5.6",".","."
"100","045","","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","047","","20","3.806","70.0","5.0","15.0",".",".",".",".","",".","",".",".","",".","",".","10.0",".",".","."
"100","048","","19","3.895","84.2","10.5","5.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","049","","18","3.889","94.4",".",".",".","5.6",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","050","","19","3.947","89.5","10.5",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","051","","19","3.947","89.5","10.5",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","052","","18","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","","","","","","","","","","","","","","","","","","","","","","","Page 225 of 454",""
