"HUMAN ONCOLOGY","Section","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Radiobiology","410
001","6
3.813","83.3","",".","","16.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","682
001","1
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","682
002","1
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sen. Honors Thesis Hum Onc 2","Course Total","2
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior Thesis Human Oncology 2","692
010","2
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
022","3
3.625","66.7","",".","","33.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
023","1
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
156","3
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
159","5
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
162","1
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","13
3.914","92.3","",".","","7.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Tumor Immunol Cancer Immnthrpy","911
005","7",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Challenges in Oncology","912
004","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","922
002","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","922
003","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","922
005","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","922
006","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","922
007","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","922
008","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Radiation Oncology","Course Total","17",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
003","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
005","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
006","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
038","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Rsch in Human Cancer Bio","Course Total","6",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
