"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"BSE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","5","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"Sophomore","29","3.470","48.3","13.8","17.2","3.4","6.9",".","",".",".","",".","10.3",".",".","",".",".",".","."
"Junior","54","3.411","33.3","22.2","11.1","5.6","7.4",".","",".",".","",".","20.4",".",".","",".",".",".","."
"Senior","366","3.357","28.7","30.3","20.8","6.8","2.7","2.2","",".",".","",".","8.2","0.3",".","",".",".",".","."
"Undergraduates","454","3.370","30.8","28.2","19.2","6.4","3.7","1.8","",".",".","",".","9.7","0.2",".","",".",".",".","."
"Special","4","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"Graduate","79","3.712","24.1","8.9","5.1",".",".",".","",".","49.4","",".",".",".","12.7","",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","",".",".",".","100.0","",".",".","."
"Professionals","1","***","","","","","","","","","","","",".",".",".","100.0","",".",".","."
