"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","","","","",""
"Ceramics II","324
001","","12","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Etching","326
001","","8","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Life Drawing II","332
001","","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","334
001","","8","3.938","87.5","12.5",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","334
002","","9","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Wood Working","Course Total","","17","3.971","94.1","5.9",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Serigraphy","336
001","","8","3.750","62.5","25.0","12.5",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Service Learning in Art","338
001","","18","3.941","83.3","11.1",".",".",".",".",".","",".","",".",".","",".","",".","5.6",".",".","."
"","341
001","","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","341
002","","6","3.250","33.3",".","50.0","16.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","Course Total","","9","3.500","55.6",".","33.3","11.1",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Watercolor II","342
002","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","346
001","","9","3.778","66.7","22.2","11.1",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","346
002","","13","3.154","46.2","15.4","23.1",".",".","7.7","7.7","",".","",".",".","",".","",".",".",".",".","."
"","346
003","","13","3.769","69.2","15.4","15.4",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","346
004","","13","3.769","76.9","15.4",".",".","7.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"Basic Graphic Design","Course Total","","48","3.604","64.6","16.7","12.5",".","2.1","2.1","2.1","",".","",".",".","",".","",".",".",".",".","."
"Intro to Digital Printmaking","348
002","","6","3.833","83.3",".","16.7",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Glassworking","354
001","","8","3.688","50.0","37.5","12.5",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","376
001","","6","3.250","33.3","16.7","16.7","33.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","376
002","","6","3.500","50.0",".","50.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","376
003","","9","3.722","66.7","22.2",".","11.1",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Photography","Course Total","","21","3.524","52.4","14.3","19.0","14.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Internships in Art","393
001","","6","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Digital Fabrication Studio","409
001","","5","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Art Foundry","414
001","","10","3.600","30.0","60.0","10.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","428
001","","16","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","428
002","","16","3.733","87.5",".",".",".",".",".","6.3","",".","",".",".","",".","",".","6.3",".",".","."
"Digital Imaging Studio","Course Total","","32","3.871","93.8",".",".",".",".",".","3.1","",".","",".",".","",".","",".","3.1",".",".","."
"3D Digital Studio I","429
001","","16","3.875","93.8",".",".",".","6.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graphic Design History","438
001","","37","3.236","32.4","16.2","21.6","18.9","8.1",".",".","",".","",".",".","",".","",".","2.7",".",".","."
"","448
001","","12","3.750","83.3",".","8.3",".","8.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","448
003","","16","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","448
010","","14","3.679","71.4","14.3",".","7.1","7.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"Special Topics","Course Total","","42","3.772","85.7","4.8","2.4","2.4","4.8",".",".","",".","",".",".","",".","",".",".",".",".","."
"Intmed Paint: New Figuration I","452
001","","3","3.333","66.7",".",".",".","33.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"Neon: Light as Sculpture","454
001","","12","3.625","66.7","8.3","8.3","16.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","458
001","","16","3.250","12.5","43.8","25.0","18.8",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","458
002","","15","3.033","20.0","33.3","13.3","26.7",".",".","6.7","",".","",".",".","",".","",".",".",".",".","."
"Branding Design","Course Total","","31","3.145","16.1","38.7","19.4","22.6",".",".","3.2","",".","",".",".","",".","",".",".",".",".","."
"Information Graphics","463
001","","11","3.000","9.1","18.2","45.5","18.2","9.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","Page 76 of 454"
