"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PUBLHLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","30","3.959","93.3","6.7",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","34","3.963","94.1","5.9",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","12","3.909","41.7","8.3",".",".",".","",".","",".","50.0","",".",".","",".","",".",".",".",".","."
"Graduate","28","3.819","50.0","7.1",".",".","3.6","",".","",".","35.7","",".",".","",".","",".",".",".","3.6","."
"Prof Yr 1","14","4.000","85.7",".",".",".",".","",".","",".","14.3","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","5","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","11","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","275","3.802","65.8","13.1","5.1","1.8","0.4","",".","",".","9.1","",".",".","",".","",".","4.7",".",".","."
"Professionals","305","3.820","68.5","11.8","4.6","1.6","0.3","",".","",".","8.9","",".",".","",".","",".","4.3",".",".","."
