"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","","","","","",""
"","361
002","57","3.035","33.3","12.3","21.1","12.3","14.0","5.3","1.8","",".","",".",".","",".","",".","",".",".",".","."
"","361
003","55","3.773","56.4","41.8","1.8",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Thermodynamics","Course Total","165","3.291","40.0","24.8","13.3","9.1","7.3","4.8","0.6","",".","",".",".","",".","",".","",".",".",".","."
"","363
001","50","2.720","14.0","10.0","30.0","18.0","18.0","10.0",".","",".","",".",".","",".","",".","",".",".",".","."
"","363
002","59","2.661","18.6","10.2","23.7","13.6","16.9","16.9",".","",".","",".",".","",".","",".","",".",".",".","."
"","363
003","53","3.311","32.1","20.8","32.1","7.5","7.5",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","363
004","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Fluid Dynamics","Course Total","163","2.899","22.1","13.5","28.2","12.9","14.1","9.2",".","",".","",".",".","",".","",".","",".",".",".","."
"Elementary Heat Transfer","001
364","90","3.089","10.0","33.3","31.1","20.0","3.3","2.2",".","",".","",".",".","",".","",".","",".",".",".","."
"Engr Measure & Instrumentation","368
001","62","3.008","29.0","16.1","16.1","17.7","14.5","6.5",".","",".","",".",".","",".","",".","",".",".",".","."
"Energy Systems Laboratory","370
001","118","3.064","10.2","36.4","28.8","10.2","11.9","2.5",".","",".","",".",".","",".","",".","",".",".",".","."
"Transport in Polymer Proc","417
003","4","3.125",".","25.0","75.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","424
001","3","3.667","33.3","66.7",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","424
002","7","3.357","42.9","14.3","14.3","28.6",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Stat Expermntl Design","Course Total","10","3.450","40.0","30.0","10.0","20.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Materials Selection","437
001","27","3.611","44.4","33.3","22.2",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Introduction to Robotics","439
001","23","3.614","52.2","21.7","17.4",".","4.3",".",".","","4.3","",".",".","",".","",".","",".",".",".","."
"Comptr Cntrl-Machns&Process","447
001","24","3.205","20.8","12.5","54.2",".",".","4.2",".","",".","",".",".","",".","",".","",".","8.3",".","."
"Redesign & Prototype Fab","449
001","28","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Applied Thermal/Struct FE Anal","460
001","30","3.767","66.7","20.0","13.3",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Thermal Systems Modeling","461
001","23","3.455","39.1","26.1","17.4","8.7","4.3",".",".","",".","","4.3",".","",".","",".","",".",".",".","."
"Welding Metallurgy","462
001","14","3.536","42.9","28.6","21.4","7.1",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Air Pollutn-Measure&Control","466
001","10","2.850","10.0","20.0","40.0","10.0","10.0","10.0",".","",".","",".",".","",".","",".","",".",".",".","."
"","468
001","25","3.800","80.0","8.0","8.0",".","4.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","468
003","1","3.500",".","100.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Model Sim Autonm Vehcls","Course Total","26","3.788","76.9","11.5","7.7",".","3.8",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Engr Princpl Off-Road Vehicles","476
001","31","3.855","83.9","9.7","3.2",".","3.2",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","489
020","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","489
041","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","489
103","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","489
105","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Honors in Research","Course Total","4","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","491
004","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","491
015","6","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","491
022","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","491
027","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","491
028","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","491
035","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","491
050","2","3.750","50.0","50.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","491
062","4","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","491
096","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","491
104","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","Page 144 of 454",""
