"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dairy Cattle Improvement","205
001","","9","3.875","66.7","22.2","",".",".","",".","",".","",".",".","",".",".","",".","",".","","11.1",".",".","."
"Dairy Herd Management II","234
001","","9","3.889","77.8","22.2","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
001","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
002","","5","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
003","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
005","","9","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
007","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
014","","2","3.750","50.0","50.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
032","","5","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Independent Study","Course Total","","26","3.980","96.2","3.8","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Comparative Animal Nutritn","311
001","","7","2.000",".",".","","14.3","28.6","","28.6","","28.6","",".",".","",".",".","",".","",".","",".",".",".","."
"Animal Health & Disease","320
001","","4","3.875","75.0","25.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Intro to Animal & Vet Genetics","361
001","","7","3.000","42.9",".","","14.3",".","","42.9","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Veterinary Genetics","362
001","","1","3.500",".","100.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Principles of Animal Breeding","363
001","","5","3.400","60.0",".","","20.0",".","","20.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Animal Physiology","373
001","","10","2.500","20.0",".","","40.0",".","","10.0","","30.0","",".",".","",".",".","",".","",".","",".",".",".","."
"","375
003","","8","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","375
004","","15","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","375
008","","5","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special Topics","Course Total","","28","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
002","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
007","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
010","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
020","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
024","","3","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","8","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Food Production & Sustainblty","471
001","","39","3.987","97.4","2.6","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Animal Ag & Sustainable Devel","472
001","","9","3.722","66.7","11.1","","22.2",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Reproductive Management","534
001","","6","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
005","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
007","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
024","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special Problems","Course Total","","5","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","799
005","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","799
010","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","799
014","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","799
032","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","799
046","","1","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Pract-Dairy Science Tchng","Course Total","","6","4.000","83.3",".","",".",".","",".","",".","",".","16.7","",".",".","",".","",".","",".",".",".","."
"","875
004","","6","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","875
005","","3","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special Topics","Course Total","","9","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 16 of 454"
