"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","","","","",""
"","101
001","165","2.721","23.6","7.3","23.6","11.5","21.2","6.7","4.8","",".","",".",".","",".","",".","0.6","0.6",".","."
"","101
002","205","2.576","19.5","8.8","19.0","13.7","24.9","7.8","6.3","",".","",".",".","",".","",".",".",".",".","."
"Animal Biology","Course Total","370","2.640","21.4","8.1","21.1","12.7","23.2","7.3","5.7","",".","",".",".","",".","",".","0.3","0.3",".","."
"","102
001","8","3.250","12.5","37.5","37.5","12.5",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
002","13","3.231","23.1","30.8","30.8",".","15.4",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
003","10","3.450","40.0","40.0",".","10.0","10.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"","004
102","16","3.188","37.5","12.5","18.8","25.0",".","6.3",".","",".","",".",".","",".","",".",".",".",".","."
"","102
005","10","2.900","10.0","30.0","10.0","30.0","20.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
006","12","2.833","16.7","16.7","16.7","16.7","33.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
007","13","3.308","38.5","30.8","15.4",".","7.7","7.7",".","",".","",".",".","",".","",".",".",".",".","."
"","102
008","8","3.188","37.5","12.5","25.0",".","25.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
009","10","3.300","30.0","30.0","20.0","10.0","10.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
010","15","3.133","13.3","33.3","26.7","20.0","6.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
011","13","3.346","30.8","15.4","46.2","7.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
012","11","3.273","18.2","27.3","45.5","9.1",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
013","6","3.417","50.0","16.7","16.7",".","16.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
014","13","3.000","23.1","23.1","15.4","23.1","7.7","7.7",".","",".","",".",".","",".","",".",".",".",".","."
"","102
015","12","3.542","41.7","25.0","33.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
016","10","2.800","10.0","10.0","50.0","10.0","10.0","10.0",".","",".","",".",".","",".","",".",".",".",".","."
"","102
017","9","3.556","44.4","22.2","33.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
018","8","2.813","25.0","12.5","12.5","25.0","12.5","12.5",".","",".","",".",".","",".","",".",".",".",".","."
"","102
019","7","2.857","14.3","14.3","14.3","42.9","14.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
020","10","3.000","20.0","30.0","20.0","10.0","10.0","10.0",".","",".","",".",".","",".","",".",".",".",".","."
"Animal Biology Laboratory","Course Total","214","3.173","26.6","23.8","24.8","12.6","9.3","2.8",".","",".","",".",".","",".","",".",".",".",".","."
"General Botany","130
001","22","2.659","31.8","13.6","4.5","9.1","22.7","9.1","9.1","",".","",".",".","",".","",".",".",".",".","."
"Introductory Biology","151
001","299","3.045","32.1","9.4","30.1","7.7","14.0","5.7","1.0","",".","",".",".","",".","",".",".",".",".","."
"","152
001","314","3.216","33.4","10.2","40.1","6.1","6.4","2.9","0.6","",".","",".",".","",".","",".","0.3",".",".","."
"","152
002","311","3.065","30.9","9.3","34.7","4.8","15.1","1.9","2.6","",".","",".",".","",".","",".","0.6",".",".","."
"Introductory Biology","Course Total","625","3.141","32.2","9.8","37.4","5.4","10.7","2.4","1.6","",".","",".",".","",".","",".","0.5",".",".","."
"Internship/Field Experience","399
001","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","522
001","10","3.950","90.0","10.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","522
002","1","2.500",".",".",".","100.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Communicating Evolutionary Bio","Course Total","11","3.761","81.8","9.1",".","9.1",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","681
001","1","",".",".",".",".",".",".",".","",".","",".",".","",".","100.0","",".",".",".","."
"","681
002","1","",".",".",".",".",".",".",".","",".","",".",".","",".","100.0","",".",".",".","."
"Senior Honors Thesis","Course Total","2","",".",".",".",".",".",".",".","",".","",".",".","",".","100.0","",".",".",".","."
"","682
001","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","682
002","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","682
003","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","Course Total","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","692
001","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","692
002","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior Thesis","Course Total","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
