"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","","","","","",""
"SE Student Teaching: PK - Gr 9","477
001","","23","3.962","95.7",".","4.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"SE Student Teaching: Gr. 4-12","478
001","","18","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501
002","","10","3.850","90.0",".",".","10.0",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","505
001","","30","3.948","90.0","3.3","3.3",".",".","",".","",".",".","",".",".","",".","",".","3.3",".",".","."
"","505
002","","30","3.583","56.7","23.3","6.7","6.7","6.7","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","Course Total","","60","3.763","73.3","13.3","5.0","3.3","3.3","",".","",".",".","",".",".","",".","",".","1.7",".",".","."
"Case Mgmt & Community Resource","520
001","","4","3.625","50.0","25.0","25.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","630
020","","11","3.839","72.7",".",".","9.1",".","",".","",".",".","",".",".","",".","",".","18.2",".",".","."
"","630
192","","11","3.855","81.8","9.1","9.1",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","630
194","","7","3.857","71.4","28.6",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","29","3.850","75.9","10.3","3.4","3.4",".","",".","",".",".","",".",".","",".","",".","6.9",".",".","."
"Special Topics","660
096","","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Research or Thesis","690
004","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","699
005","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
031","","5","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Independent Reading","Course Total","","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Multiculturl Issues-Special Ed","710
001","","12","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Qualitative Research","719
001","","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Clin Reh & MH Cnslg-Assessment","720
001","","25","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Addictions Counseling","721
001","","27","3.815","70.4","25.9",".","3.7",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Clin Rehab Cnslg-Career Devel","725
001","","17","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Clin Reh Cnslg-Med & Psychsoc","750
001","","17","3.971","94.1","5.9",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Reh Coun Ed-AssessThry&Rsrch","870
001","","10","4.000","80.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","20.0",".",".","."
"Research in Spec Education","872
001","","4","3.833","50.0","25.0",".",".",".","",".","",".",".","",".",".","",".","",".","25.0",".",".","."
"Clin Rehab Cnslg - Internship","910
002","","17","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Reh Coun Ed-Teaching","930
001","","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","941
005","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","941
012","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","941
021","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","941
025","","1","",".",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","100.0","."
"","941
028","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Internship: Research","Course Total","","6","4.000","66.7",".",".",".",".","",".","",".","16.7","",".",".","",".","",".",".",".","16.7","."
"","942
007","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","942
022","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","942
027","","1","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","942
029","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Internship Postsecondary Teach","Course Total","","6","3.833","83.3",".","16.7",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Internship in Rehb Couns Ed II","955
001","","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Adv Meth Disability&RehabRsrch","985
001","","7","3.929","85.7","14.3",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Reh Coun Ed - Diss Resrch Sem","988
001","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
