"ASIAN LANGUAGES AND CULTU Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"185
ASIAN","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-E Asian History:Japan","104","001","19","3.528","42.1","47.4",".",".",".",".","5.3",".","",".",".","",".","",".",".","5.3",".","."
"Asia Enchanted","236","001","81","3.636","71.6","11.1","7.4","2.5","4.9",".","2.5",".","",".",".","",".","",".",".",".",".","."
"SE Asian Refugees of Cold War","246","001","12","3.750","66.7","16.7","16.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Tibetan Cultures & Traditions","268","001","48","3.906","89.6","6.3",".","4.2",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","299","004","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","299","014","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","","Course Total","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Social Studies Topics in EAS","301","001","23","3.457","47.8","30.4","13.0",".",".","8.7",".",".","",".",".","",".","",".",".",".",".","."
"Hinduism","306","001","24","3.386","54.2","12.5","8.3","8.3",".","4.2","4.2",".","",".",".","",".","",".",".",".","8.3","."
"Intro to Comics and Graph Novs","310","001","70","3.643","65.7","20.0","4.3","5.7","1.4","1.4","1.4",".","",".",".","",".","",".",".",".",".","."
"Hist-China 589 AD-1919","337","001","9","3.111","55.6","22.2",".",".",".","11.1","11.1",".","",".",".","",".","",".",".",".",".","."
"Survey of Modern Chinese Lit","352","001","109","3.435","51.4","23.9","9.2","5.5","3.7","2.8","2.8",".","",".",".","",".","",".","0.9",".",".","."
"Modern Japanese Literature","355","001","13","3.542","15.4","69.2","7.7",".",".",".",".",".","",".",".","",".","",".","7.7",".",".","."
"China and World War II in Asia","363","001","10","3.250","40.0","20.0","10.0","10.0","20.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Haiku","367","001","36","2.875","22.2","25.0","19.4","11.1","11.1","2.8","8.3",".","",".",".","",".","",".",".",".",".","."
"Topics-Chinese Literature","371","001","42","3.679","71.4","21.4",".",".",".","7.1",".",".","",".",".","",".","",".",".",".",".","."
"Visual Cultures of India","428","001","3","3.667","33.3","66.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Rdgs Modern Japanese Lit","563","001","8","3.625","37.5","50.0","12.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Rdgs-Classical Japanese Lit","573","001","1","0.000",".",".",".",".",".",".","100.0",".","",".",".","",".","",".",".",".",".","."
"Proseminar: Cultures of Asia","630","001","6","3.500","33.3","33.3","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Studies in Chinese Linguistics","632","002","12","3.591","58.3","16.7",".","8.3","8.3",".",".","8.3","",".",".","",".","",".",".",".",".","."
"Proseminar in Buddhist Thought","650","001","8","3.750","75.0","12.5",".","12.5",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Studies in Chinese Fiction","672","001","6","4.000","66.7",".",".",".",".",".",".",".","",".",".","",".","",".","16.7","16.7",".","."
"","682","001","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","682","002","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","","Course Total","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","004","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","005","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","007","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","014","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","017","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","020","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","021","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","","Course Total","11","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Studies-Japanese Literature","763","001","4","4.000","75.0",".",".",".",".",".",".",".","",".",".","",".","",".","25.0",".",".","."
"Japanese Applied Linguistics","775","001","7","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","799","009","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","799","017","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Reading for Research","","Course Total","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".","",".",".",".",".","."
