"GENDER AND WOMENS STUDIE Section","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perspctv-Black Women Writng","677
001","","6","3.583","66.7","16.7","",".",".","","16.7","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior Honors Thesis I","681
025","","1","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","682
014","","1","3.500",".","100.0","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","682
015","","1","",".",".","",".",".","",".","",".","",".",".","",".",".","",".",".","100.0",".",".","."
"","682
016","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior Honors Thesis II","Course Total","","3","3.750","33.3","33.3","",".",".","",".","",".","",".",".","",".",".","",".",".","33.3",".",".","."
"Senior Thesis II","692
016","","3","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","699
010","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","699
011","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","699
014","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","699
017","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Directed Study","Course Total","","4","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Spec Topics-Gender&Wmn Studies","720
001","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Sex/Gender-Related Iss in C&I","760
001","","3","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","790
011","","1","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","790
012","","1","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","790
017","","1","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","790
024","","1","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","790
032","","1","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Research & Thesis","Course Total","","5","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","799
010","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","799
011","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Independent Research","Course Total","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Research Methods in GWS","800
001","","15","3.821","66.7","20.0","","6.7",".","",".","",".","",".",".","",".",".","",".",".","6.7",".",".","."
"Contemporary Theorizing in GWS","830
001","","12","3.958","91.7","8.3","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Sociological Perspectvs-Gender","904
001","","2","3.750","50.0","50.0","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Research & Thesis","990
011","","1","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
