"ANATOMY & PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","","","","","",""
"Human Physiology and Health","235
001","73","2.986","23.3","20.5","23.3","12.3","9.6","5.5","2.7","","1.4","",".",".","",".","",".","1.4",".",".","."
"Physiology","335
001","344","2.633","20.6","7.6","23.5","11.0","20.9","13.4","2.6","",".","",".",".","",".","",".","0.3",".",".","."
"","337
001","182","2.887","26.4","20.9","15.4","7.1","19.8","6.6","3.8","",".","",".",".","",".","",".",".",".",".","."
"","002
337","182","2.858","26.9","19.2","15.4","8.8","14.8","8.2","4.9","",".","",".",".","",".","",".","1.1",".",".","0.5"
"Human Anatomy","Course Total","364","2.873","26.6","20.1","15.4","8.0","17.3","7.4","4.4","",".","",".",".","",".","",".","0.5",".",".","0.3"
"","338
001","28","3.375","32.1","39.3","14.3","7.1","3.6","3.6",".","",".","",".",".","",".","",".",".",".",".","."
"","338
002","29","3.172","41.4","24.1","13.8","3.4","6.9","3.4","6.9","",".","",".",".","",".","",".",".",".",".","."
"","338
003","24","3.375","37.5","29.2","12.5","12.5","8.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","004
338","24","3.021","20.8","33.3","25.0","4.2","4.2","8.3","4.2","",".","",".",".","",".","",".",".",".",".","."
"","338
005","28","3.304","25.0","39.3","21.4",".","14.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","338
006","30","3.250","40.0","16.7","23.3","6.7","6.7","6.7",".","",".","",".",".","",".","",".",".",".",".","."
"","338
007","23","3.109","26.1","21.7","30.4","8.7","4.3","8.7",".","",".","",".",".","",".","",".",".",".",".","."
"","338
008","24","3.167","50.0","12.5","12.5","4.2","12.5",".","8.3","",".","",".",".","",".","",".",".",".",".","."
"Human Anatomy Laboratory","Course Total","210","3.226","34.3","27.1","19.0","5.7","7.6","3.8","2.4","",".","",".",".","",".","",".",".",".",".","."
"Independent Study","399
002","4","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Fund of Human Physiology","435
001","127","2.874","24.4","15.7","22.8","11.0","15.7","7.1","3.1","",".","",".",".","",".","",".",".",".",".","."
"","699
001","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
002","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
003","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
005","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
006","6","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Independent Study","Course Total","14","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
