"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fourth Semester Vietnamese","Course Total","","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Fourth Semester Hindi","234
001","","2","2.250",".","50.0",".",".","",".","","50.0","",".",".","",".",".","",".","",".","",".",".",".","."
"Fourth Semester Modern Tibetan","236
001","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Fourth Semester Persian","238
001","","3","4.000","33.3",".",".",".","",".","",".","",".","66.7","",".",".","",".","",".","",".",".",".","."
"Fourth Semester Urdu","240
001","","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Fourth Semester Sanskrit","242
001","","2","3.500","50.0",".","50.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","302
001","","18","3.833","72.2","22.2","5.6",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","302
002","","20","3.850","85.0","5.0","5.0","5.0","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sixth Semester Chinese","Course Total","","38","3.842","78.9","13.2","5.3","2.6","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sixth Semester Korean","306
001","","14","3.821","78.6","14.3",".","7.1","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sixth Semester Hmong","326
001","","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sixth Semester Indonesian","328
001","","2","4.000","50.0",".",".",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Sixth Semester Thai","330
001","","2","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","332
001","","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","332
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sixth Semester Vietnamese","Course Total","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sixth Semester Tibetan","336
001","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sixth Semester Persian","338
001","","3","4.000","66.7",".",".",".","",".","",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"Sixth Semester Urdu","340
001","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","356
006","","2","4.000","50.0",".",".",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"","356
008","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","356
009","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","356
010","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","356
011","","2","3.500","50.0",".","50.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","356
015","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","356
017","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","356
018","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","356
019","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","356
022","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","356
023","","3","3.833","66.7","33.3",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","356
024","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Second Semester Asian","Course Total","","17","3.875","76.5","11.8","5.9",".","",".","",".","",".","5.9","",".",".","",".","",".","",".",".",".","."
"","358
003","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","358
006","","2","3.250",".","50.0","50.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","358
007","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","358
013","","2","3.500",".","50.0",".",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"","358
014","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Fourth Semester Asian Language","Course Total","","8","3.714","50.0","25.0","12.5",".","",".","",".","",".","12.5","",".",".","",".","",".","",".",".",".","."
"","377
001","","18","3.917","83.3","16.7",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","377
002","","17","3.882","76.5","23.5",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Bus Japanese Communication","Course Total","","35","3.900","80.0","20.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
