"ITALIAN (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","","","","","","",""
"","101
001","","15","3.464","46.7","20.0","20.0",".",".","6.7","",".","6.7","",".",".","",".","",".","",".",".",".","."
"","101
002","","21","3.643","57.1","33.3","4.8",".",".","4.8","",".",".","",".",".","",".","",".","",".",".",".","."
"","101
003","","18","3.417","55.6","5.6","16.7","11.1","11.1",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","101
004","","22","3.705","45.5","50.0","4.5",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"First Semester Italian","Course Total","","76","3.573","51.3","28.9","10.5","2.6","2.6","2.6","",".","1.3","",".",".","",".","",".","",".",".",".","."
"","102
001","","12","3.292","41.7","25.0","8.3",".","25.0",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","102
002","","17","3.500","52.9","17.6","11.8","11.8","5.9",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","102
003","","23","3.522","60.9","17.4","4.3",".","17.4",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","102
004","","17","3.382","41.2","17.6","35.3",".",".","5.9","",".",".","",".",".","",".","",".","",".",".",".","."
"Second Semester Italian","Course Total","","69","3.442","50.7","18.8","14.5","2.9","11.6","1.4","",".",".","",".",".","",".","",".","",".",".",".","."
"Third Semester Italian","203
003","","11","3.182","9.1","45.5","18.2","27.3",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Fourth Semester Italian","204
001","","9","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Writing Workshop","312
001","","8","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Italian Lit and Culture II","322
001","","15","3.571","60.0","20.0",".","6.7",".","6.7","",".","6.7","",".",".","",".","",".","",".",".",".","."
"","350
002","","3","3.500","66.7",".",".","33.3",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","350
012","","7","3.357","28.6","28.6","28.6","14.3",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Rome: Lust for Glory","Course Total","","10","3.409","40.0","20.0","20.0","20.0",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Italian Film","460
001","","24","4.000","70.8",".",".",".",".",".","",".","29.2","",".",".","",".","",".","",".",".",".","."
"Il Romanzo Italiano","636
001","","9","3.833","77.8","11.1","11.1",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Il Seicento E L Arcadia","741
001","","7","3.786","71.4","14.3","14.3",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","799
004","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","799
005","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Independent Study","Course Total","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Smr-Studies in Italian Lit","952
001","","7","3.500","57.1","14.3","14.3",".","14.3",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","990
004","","1","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
005","","3","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
007","","3","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
009","","3","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
010","","1","",".",".",".",".",".",".","",".",".","",".",".","",".","100.0","","",".",".",".","."
"Individual Research","Course Total","","11","",".",".",".",".",".",".","",".","90.9","",".",".","",".","","9.1","",".",".",".","."
