"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"","990
083","7","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"","990
087","15","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"","990
088","2","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"","990
091","5","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"","990
099","1","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"","990
122","2","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"","990
123","1","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"Research","Course Total","371","",".",".",".",".",".",".",".","95.4","",".",".",".","4.6",".",".",".","."
"CHEM
224","Dept. Total","6008","3.009","28.1","12.8","22.3","9.1","13.8","3.3","1.2","6.6","",".","1.6","0.0","0.3","0.3","0.0","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","705","2.699","13.3","12.3","27.8","15.6","20.7","7.4","1.4",".","",".",".",".",".","1.0","0.1",".","0.3"
"Sophomore","","1772","3.066","29.0","14.8","26.1","9.5","16.4","3.0","1.0",".","",".","0.1",".",".","0.2",".","0.1","."
"Junior","","1523","2.968","26.1","12.3","27.8","11.0","17.5","3.2","1.6",".","",".",".",".","0.1","0.2",".","0.1","0.1"
"Senior","","1058","3.070","32.7","17.9","22.2","9.2","11.8","4.1","1.7",".","",".","0.1",".",".","0.1","0.1","0.1","0.1"
"Undergraduates","","5058","2.979","26.7","14.4","26.0","10.7","16.4","3.9","1.4",".","",".","0.0",".","0.0","0.3","0.0","0.1","0.1"
"Special","","30","2.955","23.3","10.0","26.7","13.3","10.0",".","6.7",".","",".",".",".",".",".",".","10.0","."
"Graduate","","1119","3.813","47.4","3.8","1.4","0.2","0.2","0.1",".","35.7","",".","8.7","0.1","1.5","0.3",".","0.7","."
"Prof Yr 3","","4","***","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","4","***","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","6211","3.009","30.5","12.4","21.6","8.8","13.4","3.2","1.2","6.4","",".","1.6","0.0","0.3","0.3","0.0","0.2","0.1"
