"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cost Management Systems","Course Total","","54","3.407","38.9","18.5","31.5","7.4","3.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","329
001","","45","3.100","15.6","33.3","26.7","13.3","8.9",".","2.2","",".","",".",".","",".","",".","",".",".",".","."
"","329
002","","41","2.974","17.1","14.6","19.5","39.0","2.4","2.4",".","",".","",".",".","",".","",".","",".",".","4.9","."
"Taxatn:Bus & Persnl Planng","Course Total","","86","3.042","16.3","24.4","23.3","25.6","5.8","1.2","1.2","",".","",".",".","",".","",".","",".",".","2.3","."
"","406
001","","19","3.368","26.3","26.3","42.1","5.3",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","406
002","","21","3.381","33.3","19.0","38.1","9.5",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Financial Reporting","Course Total","","40","3.375","30.0","22.5","40.0","7.5",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Acct Internshp & Prac Rsch","600
001","","59","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601
001","","60","3.667","50.0","33.3","16.7",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","620
001","","29","3.172","17.2","31.0","27.6","17.2","6.9",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","620
002","","34","3.397","26.5","32.4","35.3","5.9",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Fundamentals of Taxation","Course Total","","63","3.294","22.2","31.7","31.7","11.1","3.2",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Corporate & Advanced Taxation","621
001","","12","3.458","41.7","16.7","33.3","8.3",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","630
001","","28","3.607","53.6","21.4","21.4",".","3.6",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","630
002","","15","3.733","66.7","13.3","20.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Audit and Assurance Services","Course Total","","43","3.651","58.1","18.6","20.9",".","2.3",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","640
001","","18","3.889","77.8","22.2",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","640
002","","11","3.955","90.9","9.1",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Foundation-Accting Analytics","Course Total","","29","3.914","82.8","17.2",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","701
002","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","701
003","","2","3.250",".","50.0","50.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","701
007","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Financial Reporting I","Course Total","","4","3.125",".","25.0","75.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","702
001","","2","3.500","50.0",".","50.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","702
002","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Financial Reporting II","Course Total","","3","3.667","66.7",".","33.3",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
