"BIOCHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","","","","","",""
"Biochemistry Freshman Seminar","100
001","30","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Molecules to Life & Science","104
001","48","3.809","79.2","6.3","8.3","2.1","2.1",".","",".",".","",".",".","",".","",".","",".","2.1",".","."
"","299
041","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
046","22","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
054","3","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
075","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
076","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
078","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
084","1","3.500",".","100.0",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
090","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Independent Study","Course Total","32","3.985","96.9","3.1",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Survey of Biochemistry","301
001","44","2.920","34.1","2.3","25.0","9.1","22.7","4.5","","2.3",".","",".",".","",".","",".","",".",".",".","."
"","501
001","263","3.315","42.2","16.7","19.0","9.5","9.9","2.3","",".",".","",".",".","",".","",".","",".","0.4",".","."
"","501
002","273","3.426","48.4","14.3","16.1","8.8","8.4","0.7","",".","0.4","",".",".","",".","",".","",".","2.9",".","."
"Introduction-Biochemistry","Course Total","536","3.371","45.3","15.5","17.5","9.1","9.1","1.5","",".","0.2","",".",".","",".","",".","",".","1.7",".","."
"General Biochemistry I","507
001","50","2.990","38.0","8.0","14.0","14.0","16.0","4.0","","4.0",".","",".",".","",".","",".","","2.0",".",".","."
"General Biochemistry II","508
001","122","3.314","41.8","16.4","23.8","9.8","2.5","3.3","","1.6","0.8","",".",".","",".","",".","",".",".",".","."
"Nutr Biochm & Mtblsm","510
001","58","3.342","44.8","5.2","29.3","10.3","8.6",".","",".",".","",".",".","",".","",".","",".",".","1.7","."
"Human Disease & Biotechnology","550
001","45","3.189","20.0","26.7","37.8","2.2","13.3",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Biochemical Methods","551
001","99","3.667","56.6","26.3","11.1","6.1",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Comp Modeling of Bio Systems","570
001","28","3.875","82.1","14.3",".","3.6",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Biology of Viruses","575
001","20","2.800","25.0","5.0","25.0","5.0","35.0","5.0","",".",".","",".",".","",".","",".","",".",".",".","."
"Math Mthds for Systems Biology","609
001","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Adv Nutr: Metab-Macronutrients","619
001","4","3.500","50.0",".","50.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Eukaryotic Molecular Biology","620
001","29","3.293","24.1","24.1","48.3",".",".","3.4","",".",".","",".",".","",".","",".","",".",".",".","."
"Mechanisms-Vitamins & Minerals","625
001","18","3.750","83.3","5.6",".",".","11.1",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Biophysical Chemistry","665
001","4","3.250","25.0",".","75.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","682
039","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","682
070","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","682
076","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","682
078","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","682
082","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior Honors Thesis","Course Total","5","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior Thesis","692
090","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
039","12","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
040","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
043","5","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
053","3","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
054","6","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
057","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
059","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
