"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","","","",""
"","226
013","18","3.471","27.8","44.4","16.7",".","5.6",".",".","5.6","",".",".","",".","",".",".",".",".","."
"","226
014","16","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Interm Lang Prac-","Course Total","167","3.533","50.9","24.0","15.0","3.0","5.4","0.6","0.6","0.6","",".",".","",".","",".",".",".",".","."
"Latin America-Introduction","260
001","7","3.500","28.6","42.9","28.6",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","311
001","12","3.917","83.3","16.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","311
002","20","3.875","85.0","5.0","10.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","003
311","19","3.237","31.6","10.5","47.4","5.3",".","5.3",".",".","",".",".","",".","",".",".",".",".","."
"","311
004","18","3.778","61.1","33.3","5.6",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","311
005","19","3.868","78.9","15.8","5.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","311
006","19","4.000","94.7",".",".",".",".",".",".",".","",".",".","",".","",".",".","5.3",".","."
"","311
007","20","3.825","80.0","10.0","5.0","5.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Advanced Language Practice","Course Total","127","3.778","73.2","12.6","11.0","1.6",".","0.8",".",".","",".",".","",".","",".",".","0.8",".","."
"","319
001","23","3.761","82.6","4.3",".","8.7","4.3",".",".",".","",".",".","",".","",".",".",".",".","."
"","319
002","14","3.857","85.7","7.1",".","7.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","319
004","8","4.000","75.0",".",".",".",".",".",".",".","",".",".","",".","",".","25.0",".",".","."
"Topics in Span Lang Pract","Course Total","45","3.826","82.2","4.4",".","6.7","2.2",".",".",".","",".",".","",".","",".","4.4",".",".","."
"","320
001","18","3.278","50.0","16.7","11.1","5.6","11.1",".","5.6",".","",".",".","",".","",".",".",".",".","."
"","320
002","23","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Spanish Phonetics","Course Total","41","3.683","78.0","7.3","4.9","2.4","4.9",".","2.4",".","",".",".","",".","",".",".",".",".","."
"Structure of Modern Spanish","321
001","11","3.227","45.5","9.1","9.1","18.2","18.2",".",".",".","",".",".","",".","",".",".",".",".","."
"","325
001","23","3.870","78.3","17.4","4.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","325
002","24","3.979","95.8","4.2",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Advanced Conversation","Course Total","47","3.926","87.2","10.6","2.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","326
001","17","3.441","41.2","17.6","35.3",".","5.9",".",".",".","",".",".","",".","",".",".",".",".","."
"","326
002","23","3.795","69.6","17.4","4.3","4.3",".",".",".","4.3","",".",".","",".","",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","40","3.641","57.5","17.5","17.5","2.5","2.5",".",".","2.5","",".",".","",".","",".",".",".",".","."
"","359
001","17","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","359
002","24","3.917","91.7",".","8.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Spanish Business Area Study","Course Total","41","3.951","95.1",".","4.9",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","361
001","22","3.909","86.4","9.1","4.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","361
002","18","3.917","83.3","16.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Spanish Civilization","Course Total","40","3.913","85.0","12.5","2.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Latinx Popular Culture","364
001","20","3.825","75.0","15.0","10.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Spanish in the United States","430
001","26","3.750","57.7","23.1","11.5",".",".",".",".",".","",".",".","",".","",".","7.7",".",".","."
"Culture and the Environment","445
001","14","3.808","71.4","7.1","14.3",".",".",".",".","7.1","",".",".","",".","",".",".",".",".","."
"Spanish Amer Poetry & Essay","464
001","24","3.563","58.3","16.7","12.5","4.2","8.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Topics in Hispanic Culture","468
001","27","3.904","85.2","7.4",".","3.7",".",".",".",".","",".",".","",".","",".","3.7",".",".","."
"Smr:Hispanic Lit/Cultr/Ling","470
001","21","3.667","81.0",".","14.3",".",".",".","4.8",".","",".",".","",".","",".",".",".",".","."
"","476
00A","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","476
00B","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Study Abroad-Hispanic Cultures","Course Total","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Latin American Rock Cultures","477
001","24","3.583","66.7","8.3","20.8",".",".",".","4.2",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","Page 333 of 454",""
