"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"H ONCOL","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","15","3.927","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","21","3.948","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 4","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
