"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","","","","","",""
"","564
003","","13","3.423","38.5","38.5","7.7",".","15.4","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","564
004","","12","3.542","41.7","33.3","16.7","8.3",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","564
006","","13","3.731","53.8","38.5","7.7",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"Physical Chemistry Lab","Course Total","","49","3.480","36.7","36.7","18.4","2.0","6.1","",".","",".","",".","",".",".",".",".","",".",".",".","."
"Biophysical Chemistry","565
001","","72","3.118","23.6","34.7","19.4","5.6","6.9","","9.7","",".","",".","",".",".",".",".","",".",".",".","."
"Advanced Topics in Chemistry","575
001","","18","3.556","44.4","33.3","16.7",".","5.6","",".","",".","",".","",".",".",".",".","",".",".",".","."
"Spectrochemical Measuremts","605
001","","26","3.596","46.2","34.6","15.4",".","3.8","",".","",".","",".","",".",".",".",".","",".",".",".","."
"Phys Meth-Struct Determintn","606
001","","10","3.400","50.0","20.0","20.0",".",".","","10.0","",".","",".","",".",".",".",".","",".",".",".","."
"Laboratory Safety","607
001","","87","",".",".",".",".",".","",".","",".","",".","",".","98.9","1.1",".","",".",".",".","."
"Experimental Spectroscopy","623
001","","10","3.850","70.0","30.0",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"Genomic Science","626
001","","11","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"Topics in Computational Chem","635
001","","13","",".",".",".",".",".","",".","",".","",".","",".","100.0",".",".","",".",".",".","."
"Topics-Chem Instrumentatn: NMR","636
001","","25","3.667","48.0","36.0","8.0","4.0",".","",".","",".","",".","",".",".",".",".","","4.0",".",".","."
"Materials Chem of Polymers","654
001","","18","3.972","94.4","5.6",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"Biophysical Chemistry","665
001","","11","3.550","36.4","27.3","27.3",".",".","",".","",".","",".","",".",".",".",".","","9.1",".",".","."
"Senior Honors Thesis","681
067","","1","",".",".",".",".",".","",".","",".","",".","",".",".",".","100.0","",".",".",".","."
"","682
048","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","682
059","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","682
081","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","682
087","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","682
088","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","682
149","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"Senior Honors Thesis","Course Total","","6","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
002","","6","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
005","","2","",".",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".","100.0","."
"","699
006","","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
007","","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
008","","4","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
011","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
013","","6","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
015","","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
017","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
020","","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
021","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
022","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
023","","5","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
024","","1","",".",".",".",".",".","",".","",".","",".","",".",".",".",".","",".","100.0",".","."
"","699
029","","6","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
030","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
032","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
033","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
"","699
035","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".",".","",".",".",".","."
