"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","","","","",""
"","105
002","6","3.917","83.3","16.7",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","003
105","12","3.542","66.7","8.3","16.7",".",".","8.3",".","",".","",".",".","",".","",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","18","3.667","72.2","11.1","11.1",".",".","5.6",".","",".","",".",".","",".","",".",".",".",".","."
"","115
011","12","3.667","58.3","16.7","25.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","115
012","25","3.720","72.0","8.0","12.0","8.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","115
013","23","3.543","78.3","4.3","8.7",".",".",".","8.7","",".","",".",".","",".","",".",".",".",".","."
"","115
014","24","3.813","62.5","37.5",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","115
015","13","3.458","53.8","23.1","7.7",".",".",".","7.7","",".","",".",".","",".","",".",".","7.7",".","."
"","115
016","10","3.700","70.0","20.0",".",".","10.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"","115
021","9","3.833","77.8","11.1","11.1",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","115
022","11","3.818","90.9",".",".",".","9.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"","115
023","7","4.000","85.7",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","14.3"
"","115
024","10","3.800","70.0","20.0","10.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","115
031","10","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","115
032","11","3.818","81.8",".","18.2",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","115
033","10","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","115
034","9","3.944","88.9","11.1",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","115
051","5","3.200","20.0","20.0","40.0","20.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","115
052","4","2.875","25.0",".","25.0","25.0","25.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"","115
053","10","3.389","50.0","30.0",".",".",".",".","10.0","",".","",".",".","",".","",".","10.0",".",".","."
"","115
054","7","3.500","71.4",".",".",".",".","14.3",".","",".","",".",".","",".","",".","14.3",".",".","."
"","115
055","5","3.400","60.0",".","20.0",".","20.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"","115
058","3","3.667","66.7",".","33.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","218","3.699","71.6","12.4","8.3","1.8","1.8","0.5","1.8","",".","",".",".","",".","",".","0.9","0.5",".","0.5"
"","125
001","18","3.722","72.2","22.2",".",".",".","5.6",".","",".","",".",".","",".","",".",".",".",".","."
"","125
002","19","3.868","89.5","5.3",".",".","5.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","125
003","19","3.868","89.5","5.3",".",".","5.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","125
004","16","3.656","81.3","6.3","6.3",".",".",".","6.3","",".","",".",".","",".","",".",".",".",".","."
"Wisconsin Experience Seminar","Course Total","72","3.785","83.3","9.7","1.4",".","2.8","1.4","1.4","",".","",".",".","",".","",".",".",".",".","."
"Intersectionalities","225
001","258","3.798","79.5","8.9","4.3","3.1","2.7","0.4",".","","1.2","",".",".","",".","",".",".",".",".","."
"Race and the Developing Child","230
001","19","3.694","63.2","15.8","10.5",".","5.3",".",".","",".","",".",".","",".","",".","5.3",".",".","."
"","300
002","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","300
020","14","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Topics: Couns./Couns. Psych","Course Total","15","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Smr:Stdts Seekng Educ Equ&Div","325
001","8","3.625","50.0","25.0","25.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Ethics of Latinx Training","500
001","8","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Latin@ Mental Health","525
001","4","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Mental Hlth: Prevent & Interv","531
001","102","3.971","96.1","2.9",".","1.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","620
005","30","4.000","96.7",".",".",".",".",".",".","",".","",".",".","",".","",".","3.3",".",".","."
"Clinical Communication Skills","655
001","125","3.764","77.6","10.4","6.4","3.2","0.8","0.8","0.8","",".","",".",".","",".","",".",".",".",".","."
"","699
028","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
038","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
040","12","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","Page 84 of 454"
