"MECHANICAL ENGINEERING","Section","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Topics in Thermodynamics","761
001","16
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Chem Kinetics-Combust Sys","774
001","5
3.700","60.0","","20.0","","20.0",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Vacuum Technology","777
001","7
3.643","42.9","","42.9","","14.3",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","790
004","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
009","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","790
015","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
022","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
027","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
028","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","790
039","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
041","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
054","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
057","3",".","",".","",".",".","",".","",".","",".","33.3","",".",".","",".","66.7","",".",".",".","."
"","790
060","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","790
062","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
065","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
066","2",".","",".","",".",".","",".","",".","",".","50.0","",".",".","",".","50.0","",".",".",".","."
"","790
068","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","790
069","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
070","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
072","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
078","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","790
079","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
080","6",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
083","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
088","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
089","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","790
096","3",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"Master's Research & Thesis","Course Total","42",".","",".","",".",".","",".","",".","",".","71.4","",".",".","",".","28.6","",".",".",".","."
"","890
004","4",".","",".","",".",".","",".","",".","",".","50.0","",".",".","",".","50.0","",".",".",".","."
"","890
009","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","890
015","6",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","890
016","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","890
020","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","890
022","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","890
027","4",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","890
028","3",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","890
033","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","890
034","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","890
035","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","890
041","4",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","890
048","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","890
051","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","890
054","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","890
056","4",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","75.0","",".",".",".","25.0"
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","Page 146 of 454",""
