"ENGLISH AS A SECOND LANGU","Section","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grammar for Academic Use","115
001","10",".","",".","",".",".","",".","",".","",".","",".","",".","70.0","30.0","",".","",".",".",".","."
"","116
002","17",".","",".","",".",".","",".","",".","",".","",".","",".","94.1","5.9","",".","",".",".",".","."
"","116
003","16",".","",".","",".",".","",".","",".","",".","",".","",".","87.5","12.5","",".","",".",".",".","."
"","116
005","15",".","",".","",".",".","",".","",".","",".","",".","",".","80.0","20.0","",".","",".",".",".","."
"Acad Reading and Vocab Skills","Course Total","48",".","",".","",".",".","",".","",".","",".","",".","",".","87.5","12.5","",".","",".",".",".","."
"","117
001","15",".","",".","",".",".","",".","",".","",".","",".","",".","86.7","6.7","",".","",".","6.7",".","."
"","117
002","11",".","",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
"","117
003","15",".","",".","",".",".","",".","",".","",".","",".","",".","93.3","6.7","",".","",".",".",".","."
"","117
004","12",".","",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
"","117
005","11",".","",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
"","117
006","14",".","",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
"","117
007","13",".","",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
"","117
008","11",".","",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
"","117
009","15",".","",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
"","117
010","11",".","",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
"","117
011","14",".","",".","",".",".","",".","",".","",".","",".","",".","92.9","7.1","",".","",".",".",".","."
"","117
012","11",".","",".","",".",".","",".","",".","",".","",".","",".","81.8","18.2","",".","",".",".",".","."
"","117
014","11",".","",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
"","117
015","15",".","",".","",".",".","",".","",".","",".","",".","",".","86.7","13.3","",".","",".",".",".","."
"","117
016","12",".","",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
"Academic Writing I","Course Total","191",".","",".","",".",".","",".","",".","",".","",".","",".","95.8","3.7","",".","",".","0.5",".","."
"","118
001","13
3.654","38.5","","53.8","","7.7",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","118
002","12
3.917","83.3","","16.7","",".",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","118
003","15
3.667","80.0","","13.3","",".",".","",".","",".","","6.7","",".","",".",".",".","",".","",".",".",".","."
"","118
004","15
3.800","80.0","","6.7","","6.7","6.7","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","118
005","15
3.900","86.7","","6.7","","6.7",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","118
006","15
3.567","60.0","","33.3","",".",".","",".","",".","","6.7","",".","",".",".",".","",".","",".",".",".","."
"","118
007","15
3.633","73.3","","20.0","",".",".","",".","",".","","6.7","",".","",".",".",".","",".","",".",".",".","."
"","118
008","13
4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","118
010","14
3.929","85.7","","14.3","",".",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","118
011","15
3.967","93.3","","6.7","",".",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","118
012","13
3.923","84.6","","15.4","",".",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","118
013","12
3.542","58.3","","8.3","","16.7","16.7","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","118
015","15
3.967","93.3","","6.7","",".",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","118
016","15
3.933","86.7","","13.3","",".",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","118
017","13
3.654","84.6","","7.7","",".",".","",".","",".","","7.7","",".","",".",".",".","",".","",".",".",".","."
"","118
019","14
3.750","64.3","","28.6","",".","7.1","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","118
020","11
3.455","45.5","","18.2","","18.2","18.2","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","118
023","14
3.964","92.9","","7.1","",".",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"Academic Writing II","Course Total","249
3.795","77.9","","15.3","","2.8","2.4","",".","",".","","1.6","",".","",".",".",".","",".","",".",".",".","."
"American English Pronunciation","345
001","12",".","",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
"","349
001","11",".","",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
"","349
003","11",".","",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
"Academic Writing for Grads","Course Total","22",".","",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
