"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","","","","",""
"","100
001","20","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
002","20","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
003","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
004","17","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
005","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
006","18","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
007","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
008","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
009","18","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
010","20","3.925","90.0","5.0","5.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
011","20","3.900","90.0","5.0",".","5.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
012","22","3.705","81.8",".","9.1","4.5",".","4.5",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
013","20","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
014","21","3.976","95.2","4.8",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
015","16","3.969","93.8","6.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
016","14","3.964","92.9","7.1",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
017","16","3.969","93.8","6.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","018
100","19","3.789","89.5",".","5.3",".",".","5.3",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
019","19","3.500","73.7","5.3","5.3",".","10.5",".","5.3","",".","",".",".","",".","",".","",".",".",".","."
"","100
020","21","3.857","81.0","9.5","9.5",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
021","22","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
022","17","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
023","19","3.868","89.5","5.3",".",".","5.3",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
024","18","3.944","88.9","11.1",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
025","17","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
026","19","3.737","63.2","26.3","5.3","5.3",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
027","22","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Introduction to Art","Course Total","511","3.928","93.3","3.3","1.6","0.6","0.6","0.4","0.2","",".","",".",".","",".","",".","",".",".",".","."
"","102
001","17","3.853","82.4","5.9","11.8",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","102
002","17","3.941","88.2","11.8",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","102
003","16","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","102
004","16","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","102
005","18","3.611","44.4","33.3","22.2",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","102
006","18","3.833","72.2","22.2","5.6",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Two-Dimensional Design","Course Total","102","3.868","80.4","12.7","6.9",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","104
001","18","3.806","66.7","27.8","5.6",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","104
002","18","3.778","61.1","33.3","5.6",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","104
003","17","3.794","88.2","5.9",".",".",".","5.9",".","",".","",".",".","",".","",".","",".",".",".","."
"","104
004","17","3.676","76.5","17.6",".",".",".",".","5.9","",".","",".",".","",".","",".","",".",".",".","."
"Three-Dimensional Design","Course Total","70","3.764","72.9","21.4","2.9",".",".","1.4","1.4","",".","",".",".","",".","",".","",".",".",".","."
"Introduction to Digital Forms","107
001","176","3.883","93.2","1.1","2.3","0.6","0.6",".","1.7","","0.6","",".",".","",".","",".","",".",".",".","."
"","112
001","15","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","112
002","17","3.765","94.1",".",".",".",".",".","5.9","",".","",".",".","",".","",".","",".",".",".","."
"","112
003","16","3.875","75.0","25.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","112
004","17","3.882","76.5","23.5",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","Page 74 of 454"
