"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"","990
039","2","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
046","2","",".",".",".",".",".",".",".",".",".",".","",".","100.0",".",".",".","."
"","990
070","2","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
075","4","",".",".",".",".",".",".",".",".",".",".","",".","100.0",".",".",".","."
"","990
087","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
088","3","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
090","3","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
100","3","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"Research and Thesis","Course Total","45","",".",".",".",".",".",".",".","73.3",".",".","",".","26.7",".",".",".","."
"","999
007","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","999
032","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","999
039","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","999
090","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","999
093","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Independent Work","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"GEOG
416","Dept. Total","2094","3.477","43.8","17.1","13.2","4.3","4.0","1.3","1.1","10.3","0.0",".","",".","0.6","1.1","0.2","3.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","203","3.217","31.0","32.5","15.8","6.9","8.4","2.0","3.0",".",".",".","",".",".","0.5",".",".","."
"Sophomore","","371","3.408","41.8","22.6","21.3","5.9","5.4","1.6","0.8",".",".",".","",".",".","0.5",".",".","."
"Junior","","427","3.424","48.5","17.8","16.9","7.0","5.9","1.4","1.2",".",".",".","",".",".","1.2","0.2",".","."
"Senior","","524","3.492","51.5","20.0","14.9","3.4","4.0","1.7","1.1","0.6","0.2",".","",".",".","2.3","0.2",".","."
"Undergraduates","","1525","3.415","45.6","21.7","17.1","5.5","5.4","1.6","1.3","0.2","0.1",".","",".",".","1.3","0.1",".","."
"Special","","291","3.500","10.0","3.1","1.7","1.7","0.3","0.3","0.3","60.5",".",".","",".",".",".","0.7","21.3","."
"Graduate","","277","3.847","69.3","6.5","4.0","0.4",".","0.4","0.7","13.0",".",".","",".","4.3","0.7",".",".","0.7"
"Prof Yr 3","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","2094","3.477","43.8","17.1","13.2","4.3","4.0","1.3","1.1","10.3","0.0",".","",".","0.6","1.1","0.2","3.0","0.1"
