"PSYCHOLOGY","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","692
001","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","692
009","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","692
012","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","692
017","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","692
039","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","692
040","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","692
044","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","692
049","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","692
075","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","692
082","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduate Thesis","Course Total","","10","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
010","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
012","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
019","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
051","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
053","","7","3.929","85.7","14.3","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
057","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
066","","5","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
080","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Directed Study","Course Total","","20","3.971","95.0","5.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prosmr-Experimental Psych","701
001","","15","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prosmr in Social Psychology","703
001","","6","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Proseminar-Clinical Psych","704
001","","16","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prosmr-Developmental Psych","706
001","","9","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Proseminar-Biological Psych","707
001","","8","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Dsgn&Analys-Psych Exprmnts II","710
001","","21","3.810","71.4","19.0","","9.5",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","711
001","","7","3.750","42.9","42.9","",".",".","",".","",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"","711
002","","11","3.955","90.9","9.1","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","711
003","","7","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","711
004","","6","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","711
005","","9","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Current Topics in Psych","Course Total","","40","3.941","87.5","10.0","",".",".","",".","",".","",".","2.5","",".",".","",".","",".","",".",".",".","."
"Advanced Techniques","803
001","","5","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Field Work-Clinical Psych","805
001","","12","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Culture & Diversity I","808
001","","6","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Computational Cognitive Sci","841
001","","2","3.750","50.0","50.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Topics-Human Factors Engr","859
001","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Psychometrics","910
001","","6","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Seminar-Social Psychology","930
001","","7","3.775","85.7",".","",".","14.3","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","990
007","","2","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990
009","","2","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990
010","","2","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 313 of 454",""
