"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","7","3.857","85.7",".","14.3",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Intro to Architectural Theory","150","001","","15","3.577","40.0","33.3",".","13.3",".",".","",".","6.7","",".",".","",".","",".","",".",".","6.7","."
"Architectural Making I","151","001","","8","3.643","37.5","37.5","12.5",".",".",".","",".","12.5","",".",".","",".","",".","",".",".",".","."
"Architectural Thinking","155","001","","6","2.875","16.7","16.7",".",".","33.3",".","",".",".","",".",".","",".","",".","",".",".","33.3","."
"Prob Solv Using Cmptr Tools","291","001","","46","2.957","13.0","19.6","32.6","15.2","19.6",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Fluid Mechanics","310","001","","50","3.070","22.0","8.0","36.0","30.0","4.0",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Hydroscience","311","001","","62","3.484","51.6","19.4","9.7","12.9","6.5",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Environmental Engineering","320","002","","36","3.375","33.3","22.2","36.1","2.8","5.6",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Soil Mechanics","330","001","","51","3.186","27.5","11.8","45.1","2.0","13.7",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Structural Analysis I","340","001","","36","3.500","50.0","19.4","22.2","2.8","2.8","2.8","",".",".","",".",".","",".","",".","",".",".",".","."
"Transportation Engineering","370","001","","48","3.365","33.3","22.9","33.3","8.3",".","2.1","",".",".","",".",".","",".","",".","",".",".",".","."
"Intro to Geog Info Systems","377","001","","12","3.083","25.0","16.7","33.3","16.7",".","8.3","",".",".","",".",".","",".","",".","",".",".",".","."
"Building Information Modeling","392","001","","24","3.917","87.5","8.3","4.2",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Matrls-Constructed Facilities","395","001","","51","3.353","21.6","27.5","51.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Hydraulic Engineering","410","001","","9","3.833","66.7","33.3",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Elements-Public Health Engr","422","001","","6","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","38","3.250","13.2","55.3","13.2","10.5","5.3","2.6","",".",".","",".",".","",".","",".","",".",".",".","."
"","428","001","","16","3.781","62.5","31.3","6.3",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","428","002","","23","3.833","69.6","13.0","8.7",".",".",".","",".",".","",".",".","",".","",".","","8.7",".",".","."
"","428","003","","10","3.950","90.0","10.0",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Water Treatmnt Plant Design","","Course Total","","49","3.840","71.4","18.4","6.1",".",".",".","",".",".","",".",".","",".","",".","","4.1",".",".","."
"Intr Slope Stab and Earth Ret","430","001","","8","3.188","37.5",".","37.5","12.5","12.5",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Intr Shallow & Deep Fndtn Syst","432","001","","5","3.400","20.0","40.0","40.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Intro Underground Openings","434","001","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Concrete Structures I","447","001","","40","3.063","10.0","30.0","40.0","7.5","10.0","2.5","",".",".","",".",".","",".","",".","",".",".",".","."
"Rock Mechanics","474","002","","4","3.750","50.0","50.0",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Project Estimatng&Schedulng","492","001","","23","3.652","52.2","30.4","13.0","4.3",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","52","3.385","42.3","17.3","25.0","5.8","9.6",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Elec Systems for Construction","496","001","","14","3.500","42.9","21.4","28.6","7.1",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Constructn Project Managmnt","498","001","","54","3.593","46.3","33.3","13.0","7.4",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Composite Materials","508","001","","3","3.500","33.3","33.3","33.3",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Mixing and Transport in Env","511","001","","7","3.786","71.4","14.3","14.3",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Hydroclimatology","515","001","","6","3.917","83.3","16.7",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","522","001","","7","3.786","85.7",".",".","14.3",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","522","002","","15","3.967","93.3","6.7",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","522","003","","6","3.917","83.3","16.7",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Hazardous Waste Management","","Course Total","","28","3.911","89.3","7.1",".","3.6",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Wind Energy Design","535","001","","12","3.500","25.0","50.0","25.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
