"ART DEPARTMENT","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Packaging Design","465","001","","17","3.265","5.9","41.2","52.9",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Papermaking;Hist,Elem&Techs","466","001","","9","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","476","001","","10","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","476","002","","7","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Intermediate Photography","","Course Total","","17","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Relief Printmaking","506","001","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Making Comics 2","507","001","","14","3.857","85.7","7.1",".","7.1",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","508","001","","74","3.862","67.6","6.8","1.4","1.4",".","1.4",".","","20.3","",".",".","",".","",".","","1.4",".",".","."
"","508","002","","2","",".",".",".",".",".",".",".","",".","",".",".","",".","",".","100.0","",".",".","."
"Colloquium in Art","","Course Total","","76","3.862","65.8","6.6","1.3","1.3",".","1.3",".","19.7","","",".",".","",".","",".","","3.9",".",".","."
"Advanced Sculpture Workshop 1","514","001","","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Lithography","516","001","","4","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Installations & Environments","521","001","","6","3.917","83.3","16.7",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Painting I","522","001","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Ceramics I","524","001","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"3D Digital Studio II","529","001","","5","3.700","60.0","20.0","20.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Life Drawing I","532","001","","2","4.000","50.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".","50.0",".","."
"Advanced Wood Working","534","001","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Serigraphy","536","001","","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Art Metal I","544","001","","13","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Special Topics: Advanced Level","548","001","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Glassworking","554","001","","4","3.375","25.0","50.0",".","25.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior Thesis","560","001","","6","3.500","83.3",".",".",".",".","16.7",".","",".","",".",".","",".","",".","",".",".",".","."
"Typeface Design","565","001","","7","3.000","42.9",".","14.3",".","42.9",".",".","",".","",".",".","",".","",".","",".",".",".","."
"User Experience for Design","575","001","","16","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Photography","576","001","","9","3.444","66.7","22.2",".",".",".",".","11.1","",".","",".",".","",".","",".","",".",".",".","."
"Interdis Critiq-Visual Arts","608","001","","11","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Drawing II","612","001","","4","3.875","75.0","25.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Sculpture Workshop 2","614","001","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Adv Undergrad Painting Workshp","622","001","","5","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Ceramics II","624","001","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"3D Digital Studio III","629","001","","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Computer Augmented Printmaking","636","002","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Art Metal II","644","001","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Design Portfolio & Prof Pract","656","001","","4","2.875",".","25.0","50.0",".","25.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","699","002","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","699","004","","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","699","011","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","Page 77 of 454",""
