"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","","","",""
"","173
001","7","3.417","42.9","14.3",".","28.6",".",".",".",".","",".",".","",".","",".","14.3",".",".","."
"","173
003","168","3.818","82.7","9.5","3.0","1.8","1.8","0.6","0.6",".","",".",".","",".","",".",".",".",".","."
"Ethnic and Multicultural Lit","Course Total","175","3.805","81.1","9.7","2.9","2.9","1.7","0.6","0.6",".","",".",".","",".","",".","0.6",".",".","."
"Topics in Literature and Film","176
001","165","3.733","77.0","13.3","4.8",".","1.2","1.8","1.8",".","",".",".","",".","",".",".",".",".","."
"Literature and Popular Culture","177
001","162","3.716","71.6","16.0","4.3","1.9","2.5","1.9","0.6","0.6","",".",".","",".","",".",".",".",".","0.6"
"","182
001","20","3.700","40.0","60.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","182
002","20","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Literature for Honors","Course Total","40","3.850","70.0","30.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Writing Studio","200
001","11","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","201
002","19","3.632","68.4","21.1","5.3",".",".",".","5.3",".","",".",".","",".","",".",".",".",".","."
"","201
004","18","3.735","66.7","16.7","5.6",".","5.6",".",".",".","",".",".","",".","",".","5.6",".",".","."
"","201
005","17","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","201
007","19","3.947","94.7",".","5.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","201
008","18","4.000","94.4",".",".",".",".",".",".",".","",".",".","",".","",".","5.6",".",".","."
"","201
010","19","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intermediate Composition","Course Total","110","3.884","87.3","6.4","2.7",".","0.9",".","0.9",".","",".",".","",".","",".","1.8",".",".","."
"Writing, Rhetoric, & Literacy","204
001","72","3.590","76.4","9.7","1.4","5.6",".","1.4","5.6",".","",".",".","",".","",".",".",".",".","."
"","207
001","16","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","207
002","15","3.633","73.3","20.0",".",".",".",".","6.7",".","",".",".","",".","",".",".",".",".","."
"","207
003","15","3.833","66.7","33.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","207
004","16","3.531","68.8","12.5","6.3","6.3",".",".","6.3",".","",".",".","",".","",".",".",".",".","."
"","207
005","15","3.867","80.0","13.3","6.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","207
006","16","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","207
007","15","3.767","73.3","6.7","20.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Creative Writing","Course Total","108","3.806","80.6","12.0","4.6","0.9",".",".","1.9",".","",".",".","",".","",".",".",".",".","."
"Literature and Culture I","001
241","120","3.208","36.7","20.8","17.5","10.0","7.5","3.3","2.5","0.8","",".",".","",".","",".","0.8",".",".","."
"Literature and Culture II","242
001","64","3.746","64.1","21.9","10.9",".","1.6",".",".",".","",".",".","",".","",".","1.6",".",".","."
"","245
001","17","3.676","58.8","23.5","11.8","5.9",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","245
003","17","3.867","64.7","23.5",".",".",".",".",".",".","",".",".","",".","",".","11.8",".",".","."
"","245
005","17","3.000","41.2","11.8","5.9","23.5","5.9","5.9","5.9",".","",".",".","",".","",".",".",".",".","."
"","006
245","19","3.579","47.4","42.1","5.3",".",".","5.3",".",".","",".",".","",".","",".",".",".",".","."
"Seminar in the Major","Course Total","70","3.522","52.9","25.7","5.7","7.1","1.4","2.9","1.4",".","",".",".","",".","",".","2.9",".",".","."
"","248
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","248
002","12","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Women in Ethnic Amer Lit","Course Total","20","3.875","80.0","15.0","5.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Survey of Asian Americn Lit","270
001","8","3.875","75.0","25.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","307
001","13","3.792","61.5","23.1","7.7",".",".",".",".","7.7","",".",".","",".","",".",".",".",".","."
"","307
002","14","3.731","64.3","21.4",".",".","7.1",".",".",".","",".",".","",".","",".","7.1",".",".","."
"","307
003","12","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","307
004","15","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","307
005","13","3.846","69.2","30.8",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","67","3.877","79.1","14.9","1.5",".","1.5",".",".","1.5","",".",".","",".","",".","1.5",".",".","."
"Structure of English","314
001","23","3.848","73.9","21.7","4.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","Page 227 of 454",""
