"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"LINGUIS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","101","3.359","40.6","19.8","24.8","5.0","4.0","3.0","1.0",".","",".",".","",".","",".","2.0",".",".","."
"Sophomore","","113","3.615","65.5","15.0","8.0","3.5","7.1",".","0.9",".","",".",".","",".","",".",".",".",".","."
"Junior","","93","3.677","68.8","14.0","7.5","4.3","2.2","2.2",".","1.1","",".",".","",".","",".",".",".",".","."
"Senior","","94","3.654","73.4","10.6","3.2",".","3.2",".","4.3",".","",".",".","",".","",".","5.3",".",".","."
"Undergraduates","","401","3.573","61.8","15.0","11.0","3.2","4.2","1.2","1.5","0.2","",".",".","",".","",".","1.7",".",".","."
"Special","","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","29","3.962","86.2","6.9",".",".",".",".",".","3.4","",".",".","",".","",".","3.4",".",".","."
"","Dept. Total","434","3.594","63.4","14.3","10.4","3.0","4.1","1.2","1.4","0.5","",".",".","",".","",".","1.8",".",".","."
