"INTERDIS COURSES (SOHE)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","",""
"Ecology of Human Happiness","201
001","114","3.592","50.9","29.8","14.9","0.9","0.9","2.6",".",".","",".",".","",".","",".",".",".",".","."
"SoHE Career & Leadership Dev","202
001","223","3.439","55.6","13.9","12.6","5.4","9.0","2.2","0.9",".","",".",".","",".","",".","0.4",".",".","."
"Research Methods","793
001","10","3.833","60.0","30.0",".",".",".",".",".",".","",".",".","",".","",".","10.0",".",".","."
"","815
001","12","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","815
002","9","3.778","88.9",".",".",".","11.1",".",".",".","",".",".","",".","",".",".",".",".","."
"","815
003","9","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Skills for Comm Leaders","Course Total","30","3.933","96.7",".",".",".","3.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Capstone Seminar","980
001","4","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"INTER-HE
498","Dept. Total","381","3.564","57.0","17.8","11.8","3.4","5.8","2.1","0.5","1.0","",".",".","",".","",".","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","52","3.413","40.4","30.8","19.2","1.9","1.9","5.8",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","66","3.711","54.5","28.8","13.6","3.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","104","3.625","65.4","13.5","7.7","5.8","5.8","1.9",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","116","3.325","50.0","13.8","15.5","3.4","12.1","2.6","1.7",".","",".",".","",".","",".","0.9",".",".","."
"Undergraduates","","338","3.531","54.1","19.2","13.3","3.8","6.2","2.4","0.6",".","",".",".","",".","",".","0.3",".",".","."
"Special","","12","3.857","91.7",".",".",".","8.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","31","3.898","74.2","9.7",".",".",".",".",".","12.9","",".",".","",".","",".","3.2",".",".","."
"","Dept. Total","381","3.564","57.0","17.8","11.8","3.4","5.8","2.1","0.5","1.0","",".",".","",".","",".","0.5",".",".","."
