"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","","",""
"","100
001","50","3.735","74.0","10.0","6.0","6.0",".","2.0",".","2.0","",".",".","",".","",".",".",".",".","."
"","100
002","49","3.796","73.5","18.4","4.1","2.0","2.0",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
003","49","3.704","63.3","26.5","6.1",".","2.0","2.0",".",".","",".",".","",".","",".",".",".",".","."
"","100
004","47","3.894","78.7","21.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","100
005","98","3.770","82.7","7.1","4.1","2.0","1.0","2.0","1.0",".","",".",".","",".","",".",".",".",".","."
"","100
006","99","3.904","92.9","3.0",".","2.0","1.0","1.0",".",".","",".",".","",".","",".",".",".",".","."
"","100
007","97","3.742","83.5","7.2","2.1","1.0","3.1",".","3.1",".","",".",".","",".","",".",".",".",".","."
"Disability and Society","Course Total","489","3.796","80.8","11.0","2.9","1.8","1.4","1.0","0.8","0.2","",".",".","",".","",".",".",".",".","."
"Disability and Substance Abuse","121
001","73","3.836","89.0","2.7","4.1",".","2.7",".","1.4",".","",".",".","",".","",".",".",".",".","."
"Health & Rhabilitatn Prfessns","125
001","40","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","300
001","58","3.897","91.4",".","6.9",".","1.7",".",".",".","",".",".","",".","",".",".",".",".","."
"","300
002","59","3.915","94.9",".","3.4",".",".","1.7",".",".","",".",".","",".","",".",".",".",".","."
"","300
003","56","3.920","91.1","3.6","3.6","1.8",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Individls with Disabilities","Course Total","173","3.910","92.5","1.2","4.6","0.6","0.6","0.6",".",".","",".",".","",".","",".",".",".",".","."
"","310
001","24","3.957","87.5","8.3",".",".",".",".",".",".","",".",".","",".","",".","4.2",".",".","."
"","310
002","25","3.880","92.0",".",".","8.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Positive Psych and Well Being","Course Total","49","3.917","89.8","4.1",".","4.1",".",".",".",".","",".",".","",".","",".","2.0",".",".","."
"Health Prmtion Disab & Illness","316
001","67","3.925","95.5",".",".","3.0","1.5",".",".",".","",".",".","",".","",".",".",".",".","."
"Self Mngmt Illness, Disability","325
001","31","3.984","96.8","3.2",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Sport Psychology","335
001","35","3.943","91.4","5.7","2.9",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Tching Math in Inclusive Set","365
001","14","3.750","78.6",".","14.3","7.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"AAC and Assistive Tech","401
001","36","4.000","97.2",".",".",".",".",".",".",".","",".",".","",".","",".","2.8",".",".","."
"Tching Functional Skills","402
001","35","3.957","94.3","2.9","2.9",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Teaching Science & Soc Studies","404
001","14","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Stdt Teaching Sem - Dual Major","457
001","18","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","465
001","23","3.957","91.3","8.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","465
002","21","3.868","71.4","14.3","4.8",".",".",".",".",".","",".",".","",".","",".","9.5",".",".","."
"","465
003","21","3.810","71.4","19.0","9.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Reading Inst for Stdt with Dis","Course Total","65","3.881","78.5","13.8","4.6",".",".",".",".",".","",".",".","",".","",".","3.1",".",".","."
"Elem Stdt Teaching Seminar","467
001","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","468
001","10","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","468
002","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Secondary Student Teaching Smr","Course Total","12","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Methods in Transtn & Voc Educ","472
001","41","4.000","97.6",".",".",".",".",".",".",".","",".",".","",".","",".","2.4",".",".","."
"","473
001","35","3.956","91.4","2.9","2.9",".",".",".",".",".","",".",".","",".","",".","2.9",".",".","."
"","473
002","22","3.775","81.8","4.5",".",".",".",".","4.5",".","",".",".","",".","",".","9.1",".",".","."
"Class Mgmt for Inclusive Class","Course Total","57","3.889","87.7","3.5","1.8",".",".",".","1.8",".","",".",".","",".","",".","5.3",".",".","."
"","475
001","20","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","475
002","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"SE Practicum: Elem (PK - Gr 9)","Course Total","21","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"SE Practicum: Sec (Gr 4-12)","476
001","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
