"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","491
106","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Mech Engr Projects I","Course Total","","22","3.974","95.5","4.5",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","492
022","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","492
039","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","492
043","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","492
051","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","492
066","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Mech Engr Projects II","Course Total","","5","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Biofluidics","505
001","","8","3.875","75.0","25.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Composite Materials","508
001","","14","3.750","71.4","7.1","21.4",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512
001","","10","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Additive Manufacturing","514
001","","39","3.974","94.9","5.1",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"2-Phase Flow & Heat Transfr","520
001","","10","3.600","60.0","10.0","20.0","10.0","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","532
001","","7","3.900","57.1","14.3",".",".","",".","",".","",".","28.6","",".",".","",".","",".","",".",".",".","."
"","532
002","","2","3.250",".","50.0","50.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Mtrx Mthds in Machine Learning","Course Total","","9","3.714","44.4","22.2","11.1",".","",".","",".","",".","22.2","",".",".","",".","",".","",".",".",".","."
"Intro-Artificl Neural Ntwrks","539
001","","6","3.417","16.7","50.0","33.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","548
001","","32","3.859","75.0","21.9","3.1",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","548
003","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Design Optimization","Course Total","","34","3.868","76.5","20.6","2.9",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Intermediate Fluid Dynamics","563
001","","21","3.500","47.6","23.8","9.5","4.8","","9.5","",".","",".",".","",".",".","",".","",".","",".",".","4.8","."
"Heat Transfer","564
001","","26","3.327","23.1","50.0","19.2",".","",".","","7.7","",".",".","",".",".","",".","",".","",".",".",".","."
"Intermediate Gas Dynamics","572
001","","10","3.250","30.0","30.0","10.0","20.0","","10.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","601
006","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","601
051","","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","601
079","","14","3.929","85.7","14.3",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","601
081","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special Topics-Mech Engr","Course Total","","20","3.942","90.0","10.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Topics-Bio-Medical Engr","603
001","","7","3.929","85.7","14.3",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Design & Anal-Manufact Sys","641
001","","4","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
004","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
035","","1","3.000",".",".","100.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
050","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
057","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
066","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
080","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
090","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
100","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Advanced Independent Study","Course Total","","9","3.885","88.9",".","11.1",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Grad Cooperative Educ Program","702
001","","5","",".",".",".",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Friction, Lubrication &Wear","753
001","","6","3.917","83.3","16.7",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
