"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","","","",""
"","306
001","192","3.091","19.3","31.3","24.0","12.0","9.4","2.1","2.1",".","",".",".","",".","",".",".",".",".","."
"","306
002","41","3.927","92.7",".","7.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"The Real Estate Process","Course Total","233","3.238","32.2","25.8","21.0","9.9","7.7","1.7","1.7",".","",".",".","",".","",".",".",".",".","."
"Contemporary Topics","365
003","9","3.932","88.9","11.1",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","410
001","25","3.160","20.0","20.0","36.0","20.0","4.0",".",".",".","",".",".","",".","",".",".",".",".","."
"","410
002","29","3.518","41.4","27.6","17.2","10.3",".",".",".",".","",".",".","",".","",".","3.4",".",".","."
"","410
003","6","3.400","33.3",".","50.0",".",".",".",".","16.7","",".",".","",".","",".",".",".",".","."
"","410
004","6","3.750","66.7","16.7","16.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","410
005","13","3.077","15.4","30.8","23.1","15.4","15.4",".",".",".","",".",".","",".","",".",".",".",".","."
"Real Estate Finance","Course Total","79","3.338","31.6","22.8","26.6","12.7","3.8",".",".","1.3","",".",".","",".","",".","1.3",".",".","."
"","415
001","26","3.288","34.6","15.4","34.6","3.8","11.5",".",".",".","",".",".","",".","",".",".",".",".","."
"","415
002","40","3.325","30.0","32.5","17.5","12.5","7.5",".",".",".","",".",".","",".","",".",".",".",".","."
"Valuation of Real Estate","Course Total","66","3.311","31.8","25.8","24.2","9.1","9.1",".",".",".","",".",".","",".","",".",".",".",".","."
"","420
001","38","3.487","34.2","36.8","23.7","2.6","2.6",".",".",".","",".",".","",".","",".",".",".",".","."
"","420
002","33","3.470","39.4","30.3","24.2","3.0",".","3.0",".",".","",".",".","",".","",".",".",".",".","."
"","420
003","8","3.625","50.0","25.0","25.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Urban & Regional Economics","Course Total","79","3.494","38.0","32.9","24.1","2.5","1.3","1.3",".",".","",".",".","",".","",".",".",".",".","."
"","425
001","20","3.700","60.0","20.0","20.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","425
002","38","3.605","42.1","36.8","21.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Real Estate Law","Course Total","58","3.638","48.3","31.0","20.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Community Economic Analysis","520
001","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Real Estate Equity Investment","540
001","13","3.769","61.5","30.8","7.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Private Equity Investment I","550
001","30","3.483","36.7","26.7","33.3","3.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","611
001","54","3.824","75.9","16.7","3.7","3.7",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","611
002","23","3.804","78.3","13.0","4.3",".","4.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Residentl Property Devlpmnt","Course Total","77","3.818","76.6","15.6","3.9","2.6","1.3",".",".",".","",".",".","",".","",".",".",".",".","."
"","631
001","65","3.169","29.2","23.1","30.8","10.8",".",".","6.2",".","",".",".","",".","",".",".",".",".","."
"","631
065","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Excel Modeling","Course Total","70","3.229","34.3","21.4","28.6","10.0",".",".","5.7",".","",".",".","",".","",".",".",".",".","."
"ARGUS Modeling","632
001","65","3.469","46.2","15.4","29.2","6.2",".",".","1.5","1.5","",".",".","",".","",".",".",".",".","."
"","640
001","7","3.643","42.9","42.9","14.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","640
002","5","3.900","80.0","20.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Real Estate Capital Markets","Course Total","12","3.750","58.3","33.3","8.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Green-Sustainable Development","651
001","26","3.962","92.3","7.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"RE Investment Analysis","661
001","64","3.547","39.1","43.8","10.9",".","6.3",".",".",".","",".",".","",".","",".",".",".",".","."
"The Real Estate Process","706
001","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Real Estate Finance","710
001","10","3.300","20.0","30.0","40.0","10.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","25","3.771","68.0","12.0","16.0",".",".",".",".",".","",".",".","",".","",".","4.0",".",".","."
"Urban Economics","720
001","8","3.929","75.0","12.5",".",".",".",".",".",".","",".",".","",".","",".","12.5",".",".","."
"Commercial Proprty Devlpmnt","750
001","28","3.518","32.1","39.3","28.6",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Real Estate Law","760
001","31","3.694","54.8","35.5","6.5",".","3.2",".",".",".","",".",".","",".","",".",".",".",".","."
