"MECHANICAL ENGINEERING","Section","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","","","","","","",""
"","890
057","4",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","890
060","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","890
062","5",".","",".","",".",".","",".","",".","",".","40.0","",".",".","",".","40.0","20.0",".",".","."
"","890
064","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","890
066","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","890
068","5",".","",".","",".",".","",".","",".","",".","40.0","",".",".","",".","60.0",".",".",".","."
"","890
069","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","890
070","2",".","",".","",".",".","",".","",".","",".","50.0","",".",".","",".","50.0",".",".",".","."
"","890
073","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","890
077","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","890
079","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","890
080","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","890
086","5",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","890
087","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","890
088","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","890
089","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","890
091","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","890
096","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","890
099","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"PhD Research and Thesis","Course Total","93",".","",".","",".",".","",".","",".","",".","67.7","",".",".","",".","30.1","1.1",".",".","1.1"
"","964
001","11
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","964
031","6
3.600","33.3","","33.3","","16.7",".","",".","",".","",".","16.7","",".",".","",".",".",".",".",".","."
"Spec Adv Topics-Mech Engr","Course Total","17
3.875","76.5","","11.8","","5.9",".","",".","",".","",".","5.9","",".",".","",".",".",".",".",".","."
"","990
004","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990
015","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
016","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
020","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
027","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
028","2",".","",".","",".",".","",".","",".","",".","50.0","",".",".","",".","50.0",".",".",".","."
"","990
034","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
039","5",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
041","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
048","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
051","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990
054","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
056","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990
065","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
066","3",".","",".","",".",".","",".","",".","",".","33.3","",".",".","",".","66.7",".",".",".","."
"","990
068","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
070","2",".","",".","",".",".","",".","",".","",".","50.0","",".",".","",".","50.0",".",".",".","."
"","990
073","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
075","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
077","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
078","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990
081","5",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
